Wall time,Step,Value
1686392149.881071,16000,0.9893617033958435
1686392194.518111,32000,1.0399999618530273
1686392239.100488,48000,1.659999966621399
1686392261.297956,56000,1.9500000476837158
1686392305.930449,72000,2.130000114440918
1686392350.6333902,88000,1.9900000095367432
1686392372.9365041,96000,2.1600000858306885
1686392395.288219,104000,2.3299999237060547
1686392417.673494,112000,2.4700000286102295
1686392440.090519,120000,1.9199999570846558
1686392462.3841019,128000,1.7699999809265137
1686392484.739491,136000,2.0299999713897705
1686392507.104853,144000,1.8899999856948853
1686392529.530189,152000,2.0999999046325684
1686392552.030377,160000,2.619999885559082
1686392574.297211,168000,2.2799999713897705
1686392596.444507,176000,2.9600000381469727
1686392618.766977,184000,3.0
1686392641.1285179,192000,2.9200000762939453
1686392663.413004,200000,2.700000047683716
1686392685.519451,208000,3.069999933242798
1686392729.994947,224000,4.190000057220459
1686392796.5402482,248000,5.570000171661377
1686392818.6959019,256000,5.739999771118164
1686392840.862231,264000,6.170000076293945
1686392862.948855,272000,6.369999885559082
1686392885.117644,280000,6.900000095367432
1686392929.42591,296000,8.289999961853027
1686392995.8132732,320000,9.890000343322754
1686393017.808244,328000,10.65999984741211
1686393062.1379972,344000,11.149999618530273
1686393084.1598878,352000,12.210000038146973
1686393106.232568,360000,12.5
1686393128.311129,368000,13.109999656677246
1686393150.456152,376000,13.229999542236328
1686393172.6151,384000,13.819999694824219
1686393217.036871,400000,13.829999923706055
1686393239.15646,408000,14.289999961853027
1686393283.684066,424000,14.0
1686393305.778197,432000,14.710000038146973
1686393327.809355,440000,14.649999618530273
1686393349.832866,448000,14.649999618530273
1686393371.820765,456000,14.8100004196167
1686393393.780355,464000,14.960000038146973
1686393438.265686,480000,15.920000076293945
1686393460.359515,488000,15.770000457763672
1686393482.451457,496000,16.600000381469727
1686393504.849656,504000,14.720000267028809
1686393527.6280289,512000,5.690000057220459
1686393550.275933,520000,1.7599999904632568
1686393572.9565032,528000,1.9800000190734863
1686393595.223225,536000,2.8299999237060547
1686393617.3223512,544000,4.769999980926514
1686393639.339359,552000,6.070000171661377
1686393661.332473,560000,8.229999542236328
1686393705.549852,576000,12.720000267028809
1686393727.610799,584000,14.819999694824219
1686393749.6156769,592000,16.549999237060547
1686393771.650777,600000,18.84000015258789
1686393815.806657,616000,20.549999237060547
1686393837.87743,624000,21.420000076293945
1686393859.9819431,632000,21.299999237060547
1686393882.2144,640000,20.270000457763672
1686393926.998348,656000,21.139999389648438
1686393949.232186,664000,21.209999084472656
1686393993.817954,680000,19.190000534057617
1686394015.8920121,688000,18.93000030517578
1686394038.080526,696000,19.809999465942383
1686394060.1592488,704000,20.68000030517578
1686394082.410264,712000,21.299999237060547
1686394104.532455,720000,21.18000030517578
1686394148.681359,736000,21.719999313354492
1686394170.616593,744000,23.079999923706055
1686394192.712611,752000,24.540000915527344
1686394215.0889978,760000,25.43000030517578
1686394259.586316,776000,25.8799991607666
1686394281.573385,784000,26.719999313354492
1686394326.318441,800000,26.15999984741211
1686394348.3761542,808000,25.979999542236328
1686394370.6292238,816000,25.540000915527344
1686394392.673954,824000,25.030000686645508
1686394414.643069,832000,25.260000228881836
1686394436.703243,840000,25.950000762939453
1686394458.803006,848000,26.1299991607666
1686394480.899914,856000,26.25
1686394525.415309,872000,27.260000228881836
1686394547.700723,880000,28.280000686645508
1686394570.017165,888000,29.6299991607666
1686394592.131156,896000,29.68000030517578
1686394636.3274891,912000,28.239999771118164
1686394658.5077682,920000,27.84000015258789
1686394680.787223,928000,27.68000030517578
1686394702.9507241,936000,27.850000381469727
1686394725.1945548,944000,27.809999465942383
1686394747.364005,952000,27.229999542236328
1686394769.402606,960000,26.989999771118164
1686394791.6169019,968000,27.520000457763672
1686394813.780339,976000,28.239999771118164
1686394857.924344,992000,29.549999237060547
1686394879.90736,1000000,30.09000015258789
1686394901.909618,1008000,31.56999969482422
1686394923.947409,1016000,32.16999816894531
1686394945.98876,1024000,32.619998931884766
1686394990.111166,1040000,32.84000015258789
1686395012.239787,1048000,33.349998474121094
1686395078.209607,1072000,35.040000915527344
1686395100.3404999,1080000,35.66999816894531
1686395144.370828,1096000,33.900001525878906
1686395166.34058,1104000,34.040000915527344
1686395210.526291,1120000,35.2599983215332
1686395254.634045,1136000,36.56999969482422
1686395276.8287868,1144000,36.470001220703125
1686395298.993922,1152000,36.189998626708984
1686395321.085954,1160000,36.13999938964844
1686395343.226742,1168000,36.04999923706055
1686395365.275006,1176000,36.7400016784668
1686395409.2746382,1192000,38.459999084472656
1686395431.4092119,1200000,38.709999084472656
1686395453.488518,1208000,39.349998474121094
1686395475.661178,1216000,39.459999084472656
1686395519.884903,1232000,40.209999084472656
1686395541.990248,1240000,39.83000183105469
1686395564.031712,1248000,40.130001068115234
1686395608.158488,1264000,39.58000183105469
1686395630.315446,1272000,39.47999954223633
1686395652.378033,1280000,41.119998931884766
1686395696.5947158,1296000,42.40999984741211
1686395718.757844,1304000,44.310001373291016
1686395762.962614,1320000,44.0099983215332
1686395785.112809,1328000,43.9900016784668
1686395829.4159958,1344000,44.16999816894531
1686395851.594125,1352000,44.869998931884766
1686395873.732746,1360000,46.790000915527344
1686395917.9526348,1376000,47.959999084472656
1686395940.041507,1384000,51.560001373291016
1686395961.966484,1392000,51.9900016784668
1686396006.0386848,1408000,56.02000045776367
1686396028.033022,1416000,55.27000045776367
1686396050.074683,1424000,56.15999984741211
1686396072.1919181,1432000,55.720001220703125
1686396116.758014,1448000,47.16999816894531
1686396138.780618,1456000,44.11000061035156
1686396160.884449,1464000,42.72999954223633
1686396182.86146,1472000,41.97999954223633
1686396204.855743,1480000,39.83000183105469
1686396226.9583821,1488000,37.099998474121094
1686396248.9903622,1496000,35.68000030517578
1686396271.029394,1504000,35.90999984741211
1686396293.196393,1512000,36.189998626708984
1686396337.1808891,1528000,37.75
1686396359.254255,1536000,40.939998626708984
1686396425.558536,1560000,51.36000061035156
1686396514.130669,1592000,53.209999084472656
1686396536.356784,1600000,54.189998626708984
1686396580.695172,1616000,55.400001525878906
1686396602.7107909,1624000,56.7400016784668
1686396624.73279,1632000,57.59000015258789
1686396668.948767,1648000,57.34000015258789
1686396690.8954618,1656000,57.2400016784668
1686396712.93491,1664000,57.90999984741211
1686396734.9199092,1672000,57.91999816894531
1686396756.894905,1680000,58.0099983215332
1686396822.9750972,1704000,56.900001525878906
1686396844.961888,1712000,58.650001525878906
1686396867.0033972,1720000,58.2400016784668
1686396888.981167,1728000,58.470001220703125
1686396933.04586,1744000,62.439998626708984
1686396955.105542,1752000,64.75
1686396977.081523,1760000,63.09000015258789
1686396999.11516,1768000,62.22999954223633
