#{"t_start": 1686357340.419882, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,954,11.128508
2.0,833,19.7508
0.0,511,24.854858
1.0,698,32.109118
3.0,1101,43.74249
0.0,525,48.979179
0.0,537,54.233531
2.0,817,62.921482
0.0,535,68.12863
1.0,712,75.605854
5.0,1414,90.878461
5.0,1418,106.165883
5.0,1418,121.610577
3.0,1016,132.278457
10.0,1734,151.35537
5.0,1410,166.605272
0.0,511,171.768312
0.0,515,176.986631
0.0,515,182.038711
0.0,533,187.281512
1.0,727,194.583673
0.0,521,199.859002
9.0,1616,217.576791
0.0,511,222.794083
5.0,1398,238.097367
0.0,527,243.286191
9.0,1624,261.03481
0.0,524,266.280438
0.0,507,271.353139
0.0,539,276.593569
0.0,515,281.853845
0.0,536,287.11039
0.0,543,292.316349
0.0,527,297.553201
0.0,543,302.785184
0.0,535,308.029526
9.0,1636,325.825435
0.0,528,331.049415
0.0,539,336.286272
0.0,520,341.50225
0.0,516,346.803296
9.0,1636,364.628539
0.0,524,369.82726
0.0,528,375.084528
9.0,1616,392.81547
1.0,723,400.103305
2.0,825,408.581425
0.0,532,413.826918
0.0,520,419.06365
0.0,511,424.255027
0.0,540,429.505906
0.0,524,434.634368
9.0,1644,452.375234
0.0,515,457.555709
9.0,1644,475.25479
2.0,833,483.820503
0.0,527,489.040435
2.0,816,497.499197
0.0,509,502.539123
4.0,1201,515.473358
9.0,1616,533.298935
9.0,1620,551.036558
2.0,833,559.571403
9.0,1632,577.316971
2.0,820,585.808894
0.0,516,591.028567
0.0,520,596.265516
0.0,529,601.510618
0.0,536,606.78625
2.0,821,615.383345
9.0,1624,633.185808
0.0,524,638.357379
9.0,1636,656.245849
4.0,1201,669.088972
5.0,1407,684.34621
2.0,810,692.89182
4.0,1212,705.708754
0.0,541,710.931671
0.0,512,716.114761
0.0,521,721.39932
5.0,1402,736.686032
9.0,1644,754.564327
0.0,520,759.795865
5.0,1398,775.073382
0.0,523,780.33013
0.0,512,785.449474
0.0,527,790.712873
2.0,817,799.330386
2.0,822,807.808958
0.0,508,812.984501
0.0,532,818.252923
0.0,501,823.348073
0.0,532,828.497812
0.0,516,833.547645
0.0,509,838.560669
9.0,1628,856.261149
0.0,520,861.550911
9.0,1624,879.277267
0.0,508,884.448274
9.0,1640,902.160315
3.0,935,911.972774
0.0,501,916.949333
0.0,531,922.154085
0.0,511,927.27009
1.0,702,934.538968
2.0,825,943.158229
3.0,932,953.02538
5.0,1195,965.895829
9.0,1620,983.641562
0.0,525,988.715811
4.0,1192,1001.611888
2.0,823,1010.31208
0.0,516,1015.505885
1.0,615,1021.871062
1.0,631,1028.433771
3.0,1004,1038.954545
5.0,1406,1054.20206
9.0,1620,1071.871613
0.0,528,1077.003493
5.0,1418,1092.291878
4.0,1205,1105.113462
1.0,624,1111.607822
3.0,983,1122.095199
0.0,511,1127.16851
0.0,532,1132.346701
9.0,1640,1150.085409
1.0,731,1157.582078
2.0,812,1166.205317
7.0,1591,1183.503289
2.0,896,1192.998831
6.0,1419,1208.189622
7.0,1016,1218.978529
0.0,531,1224.253393
0.0,519,1229.530247
1.0,628,1236.042308
11.0,1103,1247.812537
0.0,526,1253.035051
0.0,514,1258.332688
11.0,1111,1269.907572
6.0,1643,1287.652479
11.0,1107,1299.399708
5.0,1346,1313.906535
0.0,538,1319.120574
9.0,1870,1339.601398
5.0,1280,1353.373028
3.0,1019,1364.215112
3.0,960,1374.301634
5.0,1355,1388.751527
11.0,2324,1414.150468
7.0,1755,1433.040941
5.0,1422,1448.314527
0.0,524,1453.370485
11.0,2006,1475.428195
12.0,1318,1489.371777
12.0,1167,1501.561122
11.0,1908,1522.349076
7.0,1593,1539.590965
11.0,1099,1551.245232
10.0,1964,1572.461581
15.0,2408,1598.689638
8.0,1703,1617.171618
8.0,1220,1629.998793
7.0,1676,1648.000207
9.0,1914,1668.878289
15.0,2136,1692.028965
13.0,2547,1719.755488
13.0,2124,1742.742219
2.0,923,1752.433233
12.0,1211,1765.386236
10.0,1683,1783.796271
8.0,1794,1803.052826
6.0,1545,1819.66028
11.0,2317,1844.974791
15.0,1718,1863.637824
16.0,2448,1890.420431
13.0,1442,1905.929748
23.0,2913,1937.986326
10.0,2270,1962.706725
12.0,1231,1975.729809
12.0,2396,2001.81493
23.0,2886,2033.518298
14.0,2347,2059.207114
22.0,2956,2091.707138
14.0,1578,2108.533883
15.0,2116,2131.594607
15.0,2408,2157.913538
15.0,2731,2188.015716
11.0,1639,2205.536443
14.0,1622,2222.930975
20.0,2832,2253.845509
11.0,2281,2278.622906
18.0,2596,2307.05334
16.0,2614,2335.7904
24.0,2817,2366.410195
21.0,2613,2395.057006
19.0,2924,2427.229289
15.0,2516,2454.598577
17.0,2741,2484.698118
29.0,4004,2528.907627
23.0,3073,2562.72422
19.0,1809,2582.074011
28.0,3404,2619.60598
29.0,2940,2651.747079
22.0,3421,2689.464843
32.0,3206,2724.614835
17.0,2916,2756.483503
27.0,2969,2789.041842
16.0,1317,2803.084329
24.0,2681,2832.289756
18.0,1725,2850.916901
9.0,2120,2874.146747
32.0,3634,2914.137456
20.0,2107,2937.017792
26.0,3158,2971.779264
15.0,2326,2997.068197
16.0,2339,3022.596813
19.0,2465,3049.620062
12.0,2259,3074.090445
28.0,3012,3107.020783
12.0,1298,3120.892752
19.0,2239,3145.309776
54.0,3179,3180.268399
34.0,3498,3218.575437
8.0,1776,3237.647684
16.0,3173,3272.488292
18.0,2728,3302.298313
22.0,3502,3340.68752
37.0,4088,3385.994196
19.0,2933,3418.213957
39.0,3481,3456.301364
4.0,1162,3468.590878
37.0,2557,3496.417126
50.0,2953,3528.55777
27.0,2658,3557.597904
25.0,3030,3590.740266
21.0,2315,3615.860452
50.0,4497,3665.679242
20.0,2363,3691.289932
8.0,1555,3708.206449
25.0,2993,3740.941226
39.0,4896,3794.785253
37.0,3928,3837.972241
41.0,4181,3883.880996
37.0,3361,3920.894995
48.0,4932,3975.337557
31.0,4040,4019.805775
32.0,3846,4061.95135
14.0,2408,4088.351178
24.0,3252,4123.899582
22.0,1999,4145.432923
33.0,3755,4186.740023
40.0,3824,4228.763858
0.0,540,4234.048739
0.0,518,4239.370119
0.0,518,4244.656891
0.0,526,4249.972459
10.0,1923,4270.679683
0.0,535,4275.906145
9.0,1632,4293.734874
22.0,2159,4317.274224
37.0,4717,4369.372728
42.0,4941,4423.86838
24.0,3182,4458.754072
41.0,4638,4510.049692
0.0,538,4515.400518
0.0,539,4520.692536
0.0,536,4525.959278
11.0,1107,4537.721437
0.0,523,4542.988986
0.0,542,4548.317759
0.0,526,4553.596735
11.0,1107,4565.431028
0.0,524,4570.746783
0.0,524,4576.018618
0.0,526,4581.288127
12.0,2327,4606.492721
12.0,2344,4632.064056
30.0,3646,4671.923339
51.0,5296,4730.613417
29.0,3214,4765.773488
49.0,5021,4821.361528
2.0,920,4831.003842
27.0,3302,4867.602661
0.0,514,4872.862778
0.0,526,4878.190609
3.0,1029,4889.085987
9.0,1636,4906.937283
0.0,539,4912.164747
0.0,521,4917.371415
9.0,1620,4935.133434
0.0,523,4940.391597
9.0,1644,4958.165748
0.0,529,4963.408755
0.0,543,4968.677838
0.0,539,4973.95147
0.0,543,4979.228976
6.0,1487,4995.219306
2.0,763,5003.132628
10.0,1750,5022.276064
15.0,1594,5039.422714
50.0,3271,5075.31803
35.0,3052,5108.842768
23.0,2217,5132.976214
19.0,2983,5165.626119
48.0,4310,5213.159534
45.0,4847,5266.85208
62.0,6949,5343.999465
0.0,539,5349.268092
11.0,1087,5361.079124
0.0,540,5366.339229
11.0,1103,5378.204847
0.0,538,5383.469585
0.0,514,5388.764421
0.0,535,5394.027786
11.0,1091,5405.800378
11.0,1107,5417.669806
11.0,1087,5429.441407
47.0,4864,5483.410616
24.0,2807,5514.226842
0.0,528,5519.512322
43.0,4600,5570.443923
23.0,3216,5605.757721
48.0,4205,5652.042819
61.0,5643,5714.367844
17.0,2641,5743.405485
6.0,1236,5756.557065
18.0,1637,5774.276607
22.0,2237,5798.492621
35.0,3687,5839.052877
21.0,2037,5861.052381
3.0,951,5871.117423
0.0,540,5876.380859
0.0,540,5881.648198
0.0,535,5886.907122
10.0,1814,5906.791147
19.0,2142,5930.133812
63.0,5530,5991.240834
48.0,4607,6041.899919
22.0,2301,6067.019302
22.0,2105,6089.703668
19.0,2850,6120.92575
54.0,5207,6178.444876
1.0,716,6185.786017
9.0,1644,6203.6225
0.0,517,6208.890971
0.0,515,6214.195997
0.0,543,6219.462924
0.0,529,6224.705236
45.0,3365,6261.552033
40.0,3982,6305.580636
60.0,5051,6361.430797
69.0,5264,6419.738419
15.0,2380,6445.70236
7.0,1708,6464.149011
50.0,5329,6523.118548
45.0,4416,6571.829173
36.0,4048,6616.389532
50.0,5219,6674.093614
36.0,4195,6720.302776
55.0,5061,6776.235312
46.0,3802,6817.975897
34.0,4569,6868.107021
35.0,3401,6905.300491
27.0,3967,6948.945282
49.0,3947,6992.130606
44.0,4391,7040.554809
26.0,3558,7079.540162
0.0,540,7084.844846
0.0,518,7090.158785
25.0,3271,7126.152271
25.0,2137,7149.240748
37.0,3837,7191.306406
61.0,5990,7257.369038
53.0,4474,7306.607907
30.0,2834,7337.441381
57.0,5324,7395.958093
37.0,3818,7437.736237
38.0,3888,7480.612218
27.0,2349,7506.1964
9.0,1860,7526.160335
34.0,4537,7576.054502
68.0,5411,7635.749799
40.0,3308,7671.86226
61.0,5092,7728.205488
89.0,5853,7793.068564
54.0,4180,7838.973441
55.0,4955,7893.802405
49.0,4549,7943.79571
29.0,3737,7984.93448
77.0,6022,8051.569584
85.0,5985,8117.950897
26.0,3598,8157.643795
0.0,520,8162.934058
0.0,516,8168.194691
0.0,529,8173.472542
6.0,1356,8187.923386
35.0,4742,8240.075108
79.0,6348,8310.111794
53.0,4817,8363.164068
74.0,5644,8425.545133
53.0,5279,8483.866928
45.0,4290,8531.16856
74.0,5776,8595.220012
27.0,3794,8636.836846
51.0,4201,8683.269621
42.0,3933,8726.683876
69.0,5446,8786.943726
83.0,6048,8853.884763
43.0,4957,8908.669974
73.0,5535,8969.735286
52.0,4873,9023.527812
52.0,4546,9073.74399
34.0,3633,9113.482268
121.0,6234,9182.250962
140.0,6257,9251.321236
37.0,4289,9298.625417
69.0,5254,9356.717656
67.0,5628,9418.931061
38.0,2782,9449.276037
80.0,5640,9511.64003
60.0,5004,9566.901373
