#{"t_start": 1686340974.241678, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,510,6.539985
0.0,510,11.533558
1.0,703,18.662252
0.0,523,23.89335
3.0,931,33.615602
2.0,800,42.191461
2.0,909,51.672909
0.0,529,56.951112
0.0,508,62.190728
0.0,541,67.475853
2.0,748,75.266375
0.0,527,80.520116
4.0,1224,93.636538
0.0,513,98.814275
0.0,523,103.887163
0.0,540,109.162492
0.0,524,114.40296
2.0,821,122.9985
1.0,728,130.338929
0.0,543,135.59461
5.0,1403,150.990607
0.0,520,156.248468
9.0,1628,173.962665
1.0,651,180.416904
0.0,532,185.627171
4.0,1209,198.454963
0.0,508,203.62279
4.0,1201,216.624892
0.0,532,221.748186
4.0,1193,234.728491
5.0,1418,250.066726
7.0,1738,269.375322
0.0,529,274.497998
0.0,521,279.770648
0.0,525,285.030197
0.0,527,290.290889
0.0,539,295.543339
9.0,1628,313.353887
0.0,515,318.636772
0.0,516,323.899028
0.0,523,329.1948
5.0,1403,344.529594
9.0,1616,362.269437
0.0,529,367.509754
0.0,516,372.725395
0.0,515,377.844887
0.0,529,383.087654
0.0,529,388.363677
5.0,1410,403.645551
11.0,1944,425.018053
1.0,632,431.436317
9.0,1620,449.25019
1.0,653,455.822994
0.0,507,460.945602
1.0,645,467.499697
4.0,1193,480.463873
13.0,1856,500.671847
2.0,811,509.125056
0.0,509,514.195056
0.0,519,519.440193
1.0,636,525.783849
1.0,624,532.259336
3.0,921,542.060942
2.0,909,551.565513
3.0,1029,562.458398
6.0,1582,579.755353
13.0,1836,599.942159
2.0,835,608.661842
7.0,1606,625.891836
13.0,2653,655.246575
4.0,1312,669.017282
5.0,1502,685.297007
1.0,653,691.717153
5.0,1339,706.176091
9.0,1293,720.132274
4.0,1055,731.339079
5.0,1486,747.517363
6.0,1687,765.814665
8.0,1788,785.187532
4.0,1219,798.103452
12.0,1151,810.42828
12.0,1163,822.662985
11.0,1904,843.260986
9.0,1340,857.437193
8.0,1824,877.163145
11.0,1099,888.703793
5.0,1479,904.702768
21.0,1577,921.877447
4.0,1240,934.934039
18.0,2778,965.606499
17.0,1391,980.271946
11.0,1904,1001.866659
14.0,1590,2016.711095
18.0,2528,2373.726551
11.0,1916,2393.960537
9.0,1640,2411.236025
14.0,2625,2439.688794
18.0,2518,3468.036764
17.0,1517,3484.635595
16.0,2216,3508.504098
19.0,2813,3539.810141
14.0,2634,3569.442053
18.0,1521,3585.60996
12.0,2371,3611.525777
20.0,2934,3643.762376
11.0,1091,3655.564629
19.0,2813,3687.41137
16.0,1638,3705.121228
22.0,3510,3744.19543
11.0,1095,3755.916729
0.0,543,3761.204293
0.0,522,3766.536694
0.0,515,3771.851643
0.0,515,3777.119312
0.0,530,3782.418435
11.0,1107,3794.212939
0.0,523,3799.483298
11.0,1087,3811.345666
0.0,539,3816.663958
0.0,514,3821.982038
0.0,514,3827.239679
0.0,536,3832.511008
13.0,2085,3855.08671
20.0,2686,3885.654761
22.0,3124,3920.070413
24.0,3208,3955.386423
15.0,2709,3984.902946
15.0,2596,4013.211318
22.0,2473,4039.985896
22.0,3007,4072.836648
25.0,3106,4107.183031
12.0,1996,4129.14879
20.0,1799,4148.454568
12.0,2280,4173.077378
19.0,2798,4203.90879
22.0,2740,4234.1195
18.0,2143,4257.644471
21.0,2522,4285.554002
26.0,2647,4314.665818
31.0,3431,4352.652536
27.0,3801,4394.837896
31.0,3176,4430.107657
31.0,3715,4471.04326
13.0,2432,4497.474447
33.0,3964,4541.438741
22.0,3573,4581.005342
27.0,2442,4607.530548
21.0,3358,4644.796369
16.0,2418,4671.429039
55.0,5522,4733.521298
34.0,4155,4779.860758
28.0,2127,4803.118528
32.0,3869,4845.571315
17.0,3076,4879.282908
26.0,3576,4918.567675
17.0,2063,4940.87305
25.0,3396,4977.835711
17.0,2683,5007.206429
29.0,3178,5041.861715
37.0,4651,5093.027358
27.0,3753,5134.109018
16.0,2497,5161.154087
35.0,3952,5204.334925
38.0,3589,5243.589452
21.0,2001,5265.235152
32.0,3808,5307.218986
39.0,4137,5353.089623
34.0,4359,5401.31615
38.0,4038,5447.035955
40.0,3591,5487.458187
20.0,2815,5518.421631
37.0,3826,5560.824985
