#{"t_start": 1686392103.871279, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,520,6.425423
1.0,724,13.740675
0.0,539,18.824021
0.0,514,23.988268
0.0,532,28.981962
1.0,644,35.219705
1.0,640,41.766318
0.0,539,46.878453
0.0,523,52.0384
11.0,1822,71.646531
1.0,637,78.064134
1.0,731,85.414829
0.0,523,90.402956
3.0,1018,101.122209
0.0,535,106.254751
2.0,834,114.648407
0.0,521,119.570281
2.0,821,127.80901
0.0,516,132.875333
0.0,511,137.88061
1.0,700,145.074179
5.0,1410,160.004423
0.0,532,164.980802
0.0,524,170.14523
0.0,531,175.217418
6.0,1600,192.171771
1.0,695,199.261924
9.0,1538,215.776047
1.0,636,222.22586
0.0,524,227.220063
9.0,1616,244.716347
0.0,527,249.837595
4.0,1183,262.271444
0.0,528,267.432658
0.0,516,272.58589
0.0,535,277.752819
1.0,732,285.059832
0.0,516,290.027012
0.0,541,295.160941
5.0,1423,310.17248
0.0,533,315.2885
0.0,543,320.454607
0.0,515,325.521092
0.0,541,330.700115
10.0,1756,349.314701
0.0,527,354.448756
1.0,700,361.623577
0.0,508,366.716095
4.0,1214,379.491024
2.0,834,387.920871
0.0,540,393.06303
0.0,525,397.996128
0.0,512,403.13248
10.0,1832,422.706395
1.0,704,429.857143
4.0,1205,442.665962
0.0,511,447.667181
2.0,901,457.022148
2.0,817,465.433886
9.0,1640,482.704065
0.0,525,487.815942
2.0,757,495.377315
0.0,529,500.451385
0.0,532,505.476202
2.0,833,513.957655
2.0,821,522.463682
1.0,731,529.753332
7.0,1818,549.227866
1.0,711,556.491713
11.0,1974,577.382539
0.0,533,582.480479
3.0,1127,594.294005
3.0,1036,604.972929
0.0,525,610.05223
0.0,517,615.147533
11.0,2176,638.685647
10.0,1911,658.976126
4.0,1296,672.650735
8.0,1967,693.729561
9.0,2075,715.853339
14.0,2270,740.308819
8.0,1736,758.781936
12.0,2112,781.358563
8.0,1650,798.675991
7.0,1714,817.083513
7.0,1897,837.258768
12.0,1238,850.079617
12.0,2040,871.773941
6.0,1565,888.311227
11.0,1900,908.424289
8.0,2025,930.01179
17.0,2634,958.613218
9.0,2221,982.228496
17.0,2847,1013.08662
12.0,2325,1037.848159
13.0,1342,1052.0204
20.0,2625,1080.239783
9.0,1315,1094.253808
17.0,1445,1109.619751
13.0,2104,1132.280124
24.0,3377,1169.041194
20.0,2786,1199.368165
10.0,2316,1224.114071
14.0,2848,1254.7377
18.0,2771,1284.516005
23.0,2924,1316.445447
17.0,2760,1346.016403
14.0,1403,1360.859926
18.0,2476,1387.414056
0.0,538,1392.633282
11.0,1099,1404.403563
0.0,532,1409.660119
11.0,1111,1421.21828
0.0,514,1426.444694
0.0,530,1431.672799
0.0,522,1436.873822
11.0,1091,1448.537585
0.0,520,1453.773441
0.0,527,1458.980904
0.0,518,1464.222903
11.0,1095,1475.804509
24.0,3047,1508.698001
21.0,2836,1539.160228
37.0,3982,1582.379051
21.0,2915,1613.756642
27.0,3213,1648.321162
16.0,2474,1674.897802
19.0,3189,1709.378866
32.0,3864,1751.352374
20.0,2551,1778.951472
24.0,2734,1808.453018
17.0,2771,1838.939933
15.0,1594,1855.997417
12.0,2518,1883.01761
16.0,2664,1911.725826
21.0,2399,1937.42233
28.0,4459,1985.926111
25.0,3068,2018.938687
27.0,3897,2061.195617
27.0,3737,2101.720325
31.0,3878,2144.374701
31.0,3882,2186.291803
18.0,1729,2204.98351
31.0,3276,2240.686903
