#{"t_start": 1686357339.808672, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,625,8.143027
1.0,646,14.682524
1.0,719,21.985996
3.0,947,31.972065
3.0,1000,42.657849
0.0,520,47.761772
0.0,516,52.969887
0.0,540,58.227915
0.0,512,63.412119
0.0,523,68.527528
0.0,519,73.733785
0.0,521,78.786089
1.0,689,85.873258
0.0,516,91.054232
0.0,535,96.27736
6.0,1604,113.565874
5.0,1398,128.973742
2.0,822,137.483843
1.0,620,143.846102
2.0,809,152.398091
0.0,527,157.646865
9.0,1640,175.315613
0.0,537,180.530313
5.0,1418,195.79871
0.0,515,201.067848
9.0,1632,218.799618
5.0,1402,234.119214
9.0,1616,251.895847
9.0,1616,269.640047
0.0,523,274.80817
0.0,517,280.058671
0.0,523,285.327488
9.0,1620,303.055979
0.0,541,308.303327
0.0,541,313.552763
0.0,528,318.790484
0.0,520,324.047715
9.0,1636,341.821656
9.0,1644,359.700521
0.0,516,364.790228
9.0,1624,382.589415
0.0,528,387.819011
2.0,814,396.387994
9.0,1640,414.132162
0.0,539,419.379646
0.0,523,424.481286
0.0,519,429.720763
0.0,524,435.002505
9.0,1624,452.744539
9.0,1616,470.439715
9.0,1640,488.1457
9.0,1644,505.950475
0.0,524,511.128563
9.0,1616,528.904473
0.0,515,534.192847
2.0,808,542.631749
2.0,821,551.182093
2.0,817,559.744843
0.0,515,565.00114
2.0,833,573.595338
9.0,1632,591.354861
0.0,520,596.535724
2.0,825,605.06592
0.0,513,610.259301
9.0,1620,628.066613
0.0,539,633.296571
0.0,523,638.519029
1.0,716,645.812665
2.0,826,654.400431
9.0,1628,672.208676
0.0,536,677.382302
2.0,816,685.773118
2.0,804,694.070736
3.0,1020,704.722631
0.0,531,709.906589
2.0,821,718.417002
5.0,1406,733.816623
0.0,532,739.082431
0.0,516,744.199562
0.0,521,749.473229
0.0,533,754.73769
0.0,541,760.017181
9.0,1640,777.803742
2.0,817,786.431951
3.0,993,797.202016
9.0,1620,814.932057
0.0,539,820.217419
0.0,535,825.493715
9.0,1620,843.168838
2.0,805,851.559574
0.0,525,856.781318
0.0,505,861.865368
2.0,803,870.244385
2.0,817,878.720224
3.0,1008,889.387108
3.0,929,899.171551
1.0,712,906.585721
1.0,712,913.754452
0.0,532,918.973757
2.0,833,927.610794
1.0,712,934.8845
0.0,536,939.968908
1.0,719,947.477786
2.0,817,956.058741
2.0,833,964.517275
0.0,523,969.676433
0.0,535,974.937712
5.0,1422,990.189742
9.0,1534,1006.808608
4.0,1201,1019.6919
0.0,519,1024.920112
0.0,519,1030.029381
2.0,897,1039.502026
0.0,523,1044.692311
1.0,635,1051.094943
1.0,695,1058.387731
0.0,540,1063.607254
9.0,1624,1081.301237
1.0,691,1088.558701
2.0,837,1097.231829
1.0,691,1104.349735
0.0,515,1109.5436
9.0,1624,1127.262038
2.0,834,1135.845868
3.0,931,1145.673474
0.0,515,1150.875913
2.0,816,1159.316381
4.0,1216,1172.324726
3.0,952,1182.222005
3.0,1120,1194.241971
7.0,1443,1209.862105
1.0,628,1216.349188
0.0,514,1221.632429
0.0,535,1226.898672
0.0,522,1232.158042
3.0,959,1242.323636
11.0,1099,1254.137167
0.0,520,1259.416388
0.0,530,1264.638262
4.0,1223,1277.742559
0.0,534,1282.971798
8.0,1139,1295.019445
11.0,1107,1306.658473
8.0,1795,1326.312145
9.0,2107,1349.3051
6.0,1404,1364.459106
3.0,1040,1375.553575
1.0,702,1382.810964
4.0,1216,1395.973798
0.0,542,1401.195878
11.0,2453,1427.947334
2.0,765,1435.738609
0.0,527,1440.979499
9.0,1620,1458.669589
5.0,1494,1474.875314
12.0,1155,1487.061171
14.0,2572,1515.487507
7.0,1674,1533.560499
12.0,2315,1558.902376
6.0,1448,1574.539978
7.0,1015,1585.12575
12.0,1163,1597.299805
11.0,1888,1617.933248
11.0,1900,1638.388416
16.0,2576,1666.534332
11.0,1900,1687.198727
13.0,2350,1712.74328
12.0,2425,1739.235574
3.0,889,1748.501834
3.0,1035,1759.43964
13.0,1852,1779.452135
17.0,2362,1805.220423
12.0,2344,1830.698863
8.0,1742,1849.418181
7.0,1604,1866.91641
9.0,2047,1889.198429
19.0,2832,1920.341256
13.0,2398,1946.631834
15.0,2464,1973.654915
8.0,1858,1993.823573
12.0,2201,2017.920616
19.0,2831,2048.949996
9.0,1691,2067.251636
21.0,2641,2095.974958
9.0,2065,2118.398351
19.0,2225,2142.729668
13.0,1426,2157.96194
20.0,3184,2193.13844
11.0,2191,2217.037452
17.0,2897,2248.717657
12.0,1219,2261.733294
17.0,2501,2289.189807
13.0,1486,2305.147752
11.0,2186,2329.039445
22.0,2850,2360.31057
23.0,3402,2397.692616
19.0,2778,2427.864889
17.0,1525,2444.134717
18.0,1629,2461.697538
26.0,3193,2496.931838
15.0,2490,2523.958733
17.0,3146,2558.625327
14.0,2195,2582.4184
13.0,1502,2598.440835
30.0,3181,2633.272864
21.0,2806,2664.029313
17.0,2808,2694.699416
17.0,2935,2726.859713
24.0,2831,2757.797621
18.0,2536,2785.624777
23.0,2616,2814.067053
17.0,1517,2830.401552
12.0,1295,2844.315572
12.0,2595,2872.76887
12.0,2334,2898.138782
12.0,2110,2921.061522
17.0,2906,2953.247542
21.0,2361,2979.004821
21.0,2932,3011.097338
10.0,2138,3034.27934
36.0,3555,3073.300832
27.0,3274,3109.208035
32.0,3933,3152.441268
19.0,2722,3182.048587
20.0,2724,3211.855235
13.0,2556,3239.653782
29.0,3801,3281.56974
20.0,1913,3302.271001
25.0,3006,3335.10779
38.0,3700,3375.874075
36.0,3800,3417.667374
26.0,3342,3454.344035
17.0,2648,3483.160642
23.0,3284,3519.062033
20.0,2648,3547.916576
44.0,4798,3600.927587
15.0,1759,3619.805267
30.0,3125,3654.014949
32.0,4178,3699.99801
11.0,1611,3717.247079
22.0,3759,3758.632629
30.0,3468,3796.532791
39.0,4052,3841.015824
25.0,2373,3866.880664
36.0,3888,3909.588862
33.0,2189,3933.210623
26.0,3365,3970.260205
40.0,3045,4003.414695
38.0,3679,4043.884877
32.0,4076,4088.748601
29.0,3634,4128.723119
21.0,3013,4161.779118
16.0,2557,4189.603515
24.0,3692,4230.358209
11.0,1111,4242.285749
0.0,515,4247.586363
5.0,1153,4259.816042
8.0,1465,4275.351884
0.0,523,4280.629505
0.0,524,4285.911512
0.0,519,4291.155953
13.0,2182,4315.023532
20.0,2354,4340.530744
31.0,3341,4376.997911
43.0,4946,4431.586369
20.0,3455,4469.454218
26.0,3761,4510.890699
0.0,539,4516.245518
0.0,528,4521.534497
0.0,530,4526.79303
0.0,532,4532.034842
0.0,524,4537.345147
11.0,1095,4549.164308
0.0,527,4554.437134
0.0,534,4559.676319
