#{"t_start": 1686357339.86063, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1082,13.461986
3.0,883,22.668096
0.0,529,27.887022
1.0,711,35.357681
6.0,1626,53.100185
1.0,695,60.384004
1.0,635,66.87133
3.0,1102,78.524829
0.0,519,83.748778
4.0,1207,96.687965
0.0,521,101.842158
0.0,528,107.075464
1.0,715,114.379857
5.0,1422,129.680306
0.0,537,134.926068
2.0,821,143.483606
2.0,805,151.875717
9.0,1628,169.595627
0.0,513,174.609299
2.0,833,183.079166
2.0,817,191.669246
0.0,525,196.917952
5.0,1398,212.204247
0.0,540,217.428942
0.0,520,222.618489
0.0,543,227.897468
0.0,519,233.121605
0.0,533,238.361352
9.0,1620,256.129828
0.0,531,261.207955
0.0,532,266.405296
2.0,809,274.990367
9.0,1620,292.764017
9.0,1616,310.534244
0.0,517,315.770195
0.0,541,321.031602
5.0,1410,336.312592
0.0,519,341.556955
0.0,539,346.86168
0.0,524,351.991101
0.0,515,357.245515
0.0,523,362.451047
9.0,1644,380.229233
5.0,1419,395.477203
0.0,524,400.736679
2.0,820,409.165294
0.0,511,414.348668
2.0,814,422.966749
0.0,539,428.199226
9.0,1636,445.987584
0.0,541,451.219696
0.0,536,456.448782
0.0,535,461.67708
0.0,536,466.896929
9.0,1624,484.610164
1.0,716,491.93152
0.0,531,497.148072
1.0,716,504.471008
2.0,812,512.863588
1.0,636,519.315453
0.0,517,524.586343
9.0,1616,542.372228
5.0,1414,557.754427
0.0,508,562.855574
0.0,516,567.89577
2.0,822,576.500996
0.0,523,581.695636
5.0,1407,596.973417
0.0,541,602.219866
9.0,1620,620.024452
9.0,1632,637.78621
4.0,1208,650.702554
0.0,535,655.924041
3.0,1011,666.693517
0.0,513,671.89932
5.0,1414,687.166199
5.0,1398,702.423018
5.0,1398,717.787889
5.0,1418,733.09482
0.0,520,738.374554
0.0,527,743.491296
0.0,531,748.759853
0.0,528,753.975451
0.0,511,759.050848
0.0,527,764.259687
0.0,524,769.350452
9.0,1632,787.166354
2.0,822,795.8278
9.0,1620,813.570492
0.0,515,818.773681
0.0,519,823.933927
9.0,1616,841.583751
2.0,813,850.142383
0.0,501,855.168773
1.0,637,861.75564
1.0,723,869.041598
0.0,513,874.047298
0.0,519,879.078753
0.0,512,884.106831
0.0,516,889.131154
2.0,817,897.699682
9.0,1628,915.473416
1.0,640,922.016136
1.0,637,928.510885
5.0,1422,943.815784
2.0,823,952.624522
9.0,1616,970.317734
1.0,628,976.715321
2.0,821,985.342524
9.0,1644,1003.039667
5.0,1398,1018.285011
9.0,1640,1036.059486
4.0,1208,1048.974882
2.0,923,1058.741985
5.0,1414,1073.93111
9.0,1636,1091.714692
0.0,515,1096.796778
0.0,539,1102.030556
1.0,715,1109.262406
4.0,1222,1122.184499
5.0,1403,1137.427736
3.0,875,1146.740357
3.0,943,1156.544603
13.0,1852,1176.720431
7.0,1506,1192.989713
7.0,1639,1210.790087
0.0,518,1216.037296
0.0,540,1221.321657
0.0,531,1226.590021
3.0,1041,1237.542419
1.0,723,1245.070753
11.0,1107,1256.883051
0.0,522,1262.129832
6.0,1509,1278.423763
0.0,538,1283.671009
5.0,1319,1297.744972
11.0,1111,1309.466316
11.0,1099,1321.057609
3.0,1038,1331.970552
11.0,1107,1343.557485
11.0,1095,1355.275515
11.0,1103,1366.880776
7.0,1590,1384.137211
7.0,1668,1402.210245
1.0,714,1409.458655
13.0,2161,1432.929944
0.0,515,1438.204468
5.0,1406,1453.465099
1.0,632,1459.919378
11.0,1087,1471.464382
11.0,1095,1482.998688
8.0,1583,1500.140781
7.0,1810,1519.952034
9.0,1910,1540.568669
3.0,1106,1552.262819
8.0,1755,1571.122762
7.0,1806,1590.750538
9.0,1331,1604.844083
12.0,1310,1618.788623
14.0,2512,1646.215811
12.0,2088,1668.949374
15.0,2460,1695.975927
15.0,2132,1719.114069
11.0,1099,1730.620898
15.0,1992,1752.551675
0.0,534,1757.753579
15.0,2124,1780.786943
10.0,1921,1801.547723
11.0,2101,1824.361696
18.0,1904,1845.22566
14.0,2212,1869.528002
13.0,2523,1897.317435
9.0,2209,1921.218708
14.0,2400,1947.540444
13.0,2466,1974.455087
11.0,1095,1985.985869
10.0,2159,2009.623592
11.0,2347,2035.268345
12.0,2016,2057.010297
13.0,1431,2072.355822
17.0,2392,2098.525081
21.0,2409,2124.744894
16.0,2108,2147.711959
20.0,2694,2177.140887
9.0,2046,2199.35525
10.0,1949,2220.538454
14.0,2888,2252.256119
23.0,2601,2280.830904
17.0,1923,2301.70362
10.0,2067,2324.040585
27.0,2656,2353.28191
21.0,2433,2379.786345
11.0,2208,2403.765725
19.0,1781,2423.094838
31.0,3293,2459.422486
14.0,2400,2485.754396
14.0,1612,2503.208548
19.0,1793,2522.507512
19.0,1801,2541.90746
22.0,2899,2573.640416
17.0,1509,2589.960189
18.0,1709,2608.481417
20.0,1829,2628.232109
30.0,3653,2668.367174
19.0,2564,2696.466535
21.0,3408,2733.950253
14.0,2246,2758.448435
18.0,2967,2791.166272
19.0,2306,2816.414428
21.0,3449,2854.424881
25.0,2904,2886.391165
12.0,1318,2900.309501
5.0,1332,2914.260801
19.0,2565,2942.451821
26.0,3592,2982.106877
11.0,2246,3006.310663
13.0,2576,3034.584057
24.0,2844,3065.631859
25.0,2921,3097.742973
17.0,2779,3128.210209
18.0,2866,3159.740697
39.0,4748,3211.964138
33.0,3330,3248.537796
28.0,2589,3276.785207
45.0,4181,3322.966718
48.0,4652,3374.375537
36.0,2337,3399.80107
41.0,2657,3428.763215
33.0,3197,3463.747694
16.0,2751,3493.826527
16.0,2430,3520.144701
46.0,3855,3562.682363
42.0,4279,3609.860781
10.0,2308,3635.013184
26.0,3120,3669.173234
30.0,2829,3699.955528
44.0,3452,3737.770172
21.0,2117,3760.810462
29.0,3702,3801.388078
43.0,4358,3849.511823
30.0,3234,3884.886222
41.0,3912,3927.943056
55.0,5295,3986.5469
29.0,3530,4025.086197
53.0,4956,4079.914328
35.0,2609,4108.175661
29.0,3744,4149.177654
21.0,2306,4174.336662
46.0,4477,4223.723089
4.0,1114,4235.545878
0.0,514,4240.856389
0.0,527,4246.1566
0.0,536,4251.469417
20.0,2758,4281.556104
21.0,2886,4313.352398
42.0,4426,4362.087975
47.0,5331,4420.958028
36.0,3875,4463.789754
37.0,3765,4505.114145
2.0,903,4514.601723
0.0,542,4519.905993
0.0,520,4525.190849
0.0,532,4530.440754
0.0,527,4535.73374
0.0,534,4541.030612
0.0,516,4546.319104
0.0,535,4551.642667
0.0,543,4556.883405
11.0,1095,4568.752782
11.0,1111,4580.514371
14.0,1490,4596.739649
26.0,3934,4639.797374
37.0,3750,4680.918626
60.0,2911,4712.776843
42.0,4787,4765.625007
37.0,4316,4813.239101
7.0,1369,4827.910872
11.0,2024,4849.998804
11.0,1951,4871.111339
0.0,539,4876.434325
0.0,528,4881.735923
4.0,1073,4893.244971
9.0,1640,4911.085652
0.0,517,4916.28986
9.0,1640,4934.020348
0.0,532,4939.296927
0.0,524,4944.534279
0.0,535,4949.775004
0.0,539,4955.009999
9.0,1632,4972.834888
0.0,543,4978.127031
2.0,836,4986.739542
7.0,1505,5002.946616
0.0,540,5008.2352
9.0,1939,5029.573166
9.0,1910,5050.296982
37.0,3992,5094.512051
18.0,2823,5125.496215
25.0,3960,5169.343618
31.0,3170,5204.090833
33.0,3478,5242.522237
20.0,3334,5279.115319
36.0,3740,5320.548216
12.0,2395,5346.580129
0.0,518,5351.8999
0.0,527,5357.217886
0.0,542,5362.497662
11.0,1107,5374.276001
11.0,1091,5386.089402
11.0,1087,5397.859821
0.0,532,5403.159446
0.0,531,5408.417283
0.0,519,5413.71386
11.0,1099,5425.5834
18.0,1497,5441.713823
22.0,2628,5470.602358
38.0,4233,5517.294767
20.0,2279,5542.142309
25.0,2960,5574.417315
25.0,3696,5615.152693
39.0,4386,5663.608965
35.0,4074,5708.595677
40.0,4689,5760.855224
32.0,3456,5798.761206
45.0,4533,5848.927953
21.0,2994,5882.194823
0.0,515,5887.45336
0.0,519,5892.736551
0.0,540,5897.996026
0.0,515,5903.250584
48.0,4290,5950.702857
33.0,3698,5991.312307
40.0,3986,6035.259514
55.0,5171,6092.664979
23.0,3060,6126.202794
31.0,2965,6158.42757
16.0,2297,6183.359671
0.0,535,6188.679691
0.0,541,6193.955569
9.0,1620,6211.804782
7.0,1734,6230.71993
23.0,3398,6268.088645
11.0,1855,6288.162079
50.0,4493,6337.760558
36.0,3615,6377.399568
33.0,3757,6418.721902
37.0,3187,6453.95432
39.0,4209,6500.343612
47.0,3912,6543.237135
47.0,4522,6593.189884
76.0,5797,6657.469421
68.0,3701,6698.179891
66.0,5683,6761.200021
17.0,2916,6793.25544
50.0,4741,6845.387148
50.0,4671,6896.797207
3.0,951,6906.905985
31.0,3199,6941.713705
76.0,6022,7008.465847
108.0,6200,7077.082965
1.0,644,7083.551453
0.0,536,7088.879769
1.0,728,7096.243931
39.0,4095,7141.475279
42.0,4333,7188.971629
39.0,4424,7237.642187
36.0,3669,7277.987572
48.0,4366,7325.991871
40.0,3737,7366.996285
47.0,4244,7413.850014
45.0,4219,7460.13984
62.0,5461,7520.392851
44.0,4259,7567.132132
41.0,3897,7609.858556
36.0,2811,7640.500951
52.0,4649,7691.781159
64.0,4807,7744.647385
41.0,3935,7788.128007
48.0,5628,7850.504345
73.0,5085,7906.479957
74.0,5293,7964.90694
87.0,5677,8027.575944
98.0,6800,8103.00004
60.0,4739,8155.291635
0.0,543,8160.561418
0.0,527,8165.828901
0.0,535,8171.106457
0.0,543,8176.401542
36.0,3934,8219.636021
63.0,5546,8280.91963
82.0,5067,8336.976259
42.0,4794,8389.835372
57.0,5254,8447.883492
23.0,2756,8478.118653
52.0,4779,8530.946992
78.0,5116,8587.41845
36.0,3287,8623.546483
40.0,4582,8674.35494
68.0,5252,8732.435344
63.0,5644,8794.981322
115.0,7298,8875.989381
88.0,6247,8945.197718
52.0,4549,8995.412432
33.0,3290,9031.470081
71.0,5288,9090.055672
56.0,4281,9137.193624
92.0,6552,9209.3803
69.0,4778,9261.935086
65.0,4967,9316.673958
80.0,7037,9394.615016
109.0,6562,9466.983618
85.0,4701,9518.880282
38.0,3840,9560.93446
103.0,6037,9627.635339
82.0,5783,9691.515092
13.0,2241,9715.94069
0.0,521,9721.201182
9.0,1620,9739.05349
10.0,1820,9758.94628
0.0,516,9764.231144
9.0,1644,9782.026674
9.0,1640,9799.909471
0.0,519,9805.176482
0.0,539,9810.425894
0.0,540,9815.675225
0.0,525,9820.926011
0.0,524,9826.18128
9.0,1620,9843.917877
0.0,523,9849.119081
0.0,529,9854.343736
0.0,540,9859.579338
9.0,1636,9877.285995
0.0,535,9882.518792
0.0,528,9887.726524
0.0,529,9892.957752
9.0,1632,9910.675774
9.0,1632,9928.394789
0.0,533,9933.659476
9.0,1624,9951.497929
0.0,521,9956.763624
0.0,520,9962.02994
9.0,1624,9979.775981
7.0,1413,9994.979586
43.0,4510,10044.386692
59.0,4806,10097.282467
65.0,5151,10153.833696
66.0,5879,10218.794432
117.0,6117,10286.439227
64.0,4523,10336.391675
59.0,4441,10385.145189
81.0,5362,10444.510619
65.0,5335,10503.188287
