#{"t_start": 1686357340.266189, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,631,7.876827
0.0,541,13.120779
1.0,729,20.457916
1.0,709,27.742975
1.0,727,35.16264
0.0,531,40.373495
0.0,519,45.622967
0.0,514,50.720377
0.0,525,55.923851
4.0,1212,68.941782
3.0,1000,79.645308
0.0,519,84.873009
0.0,515,90.079433
0.0,531,95.170161
2.0,813,103.743657
4.0,1292,117.598413
3.0,1012,128.165446
5.0,1402,143.523849
0.0,508,148.603577
0.0,533,153.80594
2.0,821,162.251334
0.0,527,167.488225
5.0,1399,182.811383
5.0,1422,198.109327
0.0,523,203.337434
2.0,824,211.771715
2.0,813,220.364293
0.0,535,225.495509
0.0,516,230.530963
0.0,532,235.706437
0.0,524,240.962925
0.0,520,246.211265
9.0,1632,263.940058
9.0,1632,281.722339
0.0,521,286.986232
0.0,515,292.185529
0.0,507,297.373359
0.0,512,302.445243
0.0,519,307.694803
0.0,539,312.942476
0.0,541,318.180584
0.0,524,323.438602
9.0,1644,341.215444
0.0,533,346.520256
0.0,532,351.796887
9.0,1640,369.596085
0.0,515,374.849645
0.0,541,380.08775
9.0,1628,397.831394
0.0,533,403.079028
0.0,524,408.27878
0.0,531,413.500536
9.0,1616,431.316338
2.0,817,439.948236
0.0,531,445.161204
0.0,519,450.389874
0.0,529,455.619732
0.0,540,460.842621
0.0,525,466.056427
0.0,543,471.287013
9.0,1640,488.98301
5.0,1418,504.302985
0.0,524,509.324715
2.0,821,517.923269
0.0,537,523.198477
0.0,504,528.220671
3.0,1005,538.921219
5.0,1398,554.207987
5.0,1414,569.519252
0.0,517,574.562148
0.0,523,579.75002
0.0,521,584.949227
9.0,1632,602.704271
0.0,519,607.965916
0.0,508,613.038986
9.0,1644,630.860797
2.0,809,639.446811
5.0,1399,654.832149
1.0,708,662.164996
0.0,517,667.406596
0.0,519,672.611169
5.0,1402,687.874406
5.0,1422,703.139875
0.0,511,708.319474
1.0,704,715.60825
0.0,515,720.842296
9.0,1636,738.637852
2.0,821,747.175967
2.0,833,755.846135
0.0,543,761.107142
0.0,533,766.350151
0.0,524,771.447732
0.0,533,776.669208
0.0,535,781.922494
0.0,535,787.175267
0.0,532,792.452784
0.0,519,797.715158
9.0,1644,815.453535
0.0,516,820.697194
5.0,1422,835.915679
1.0,619,842.29713
5.0,1418,857.541106
2.0,819,865.9646
2.0,825,874.536962
0.0,531,879.636083
0.0,508,884.810751
2.0,808,893.222461
0.0,533,898.436586
0.0,536,903.682782
5.0,1402,918.961464
0.0,543,924.223816
5.0,1402,939.523976
1.0,709,946.810657
1.0,723,954.302
9.0,1636,971.995745
2.0,813,980.439587
9.0,1636,998.150988
2.0,856,1007.016602
4.0,1065,1018.357077
1.0,704,1025.66254
0.0,524,1030.85172
0.0,529,1035.868974
1.0,636,1042.220857
3.0,1000,1052.900554
2.0,804,1061.274162
6.0,1261,1074.906677
3.0,1059,1086.316833
1.0,713,1093.65232
0.0,528,1098.913796
6.0,1409,1114.123461
1.0,711,1121.574891
2.0,927,1131.189688
3.0,880,1140.284553
1.0,716,1147.709244
0.0,535,1152.799228
7.0,1015,1163.465713
5.0,1316,1177.718363
7.0,1011,1188.307693
4.0,1137,1200.368501
0.0,526,1205.563714
2.0,840,1214.45594
0.0,503,1219.546561
11.0,1111,1231.279502
3.0,1036,1242.212483
11.0,1107,1254.116063
0.0,518,1259.243624
11.0,2464,1286.581679
4.0,1211,1299.366851
