#{"t_start": 1686357340.368259, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,519,6.454649
9.0,1632,24.209526
0.0,540,29.455955
4.0,1193,42.13746
5.0,1386,57.270328
0.0,517,62.509854
0.0,524,67.767492
4.0,1201,80.772803
4.0,1196,93.720963
0.0,537,98.945089
0.0,529,104.171288
5.0,1334,118.443327
0.0,493,123.432492
0.0,519,128.501293
0.0,519,133.681585
13.0,1856,153.940349
3.0,993,164.556936
0.0,525,169.771381
0.0,531,174.995624
0.0,519,180.058416
0.0,527,185.289359
0.0,516,190.464949
2.0,805,198.945828
0.0,532,204.171665
0.0,533,209.380326
0.0,519,214.573135
0.0,517,219.801936
0.0,527,225.077469
0.0,521,230.171211
0.0,521,235.403916
0.0,515,240.646456
0.0,527,245.853376
2.0,805,254.293237
0.0,527,259.519428
0.0,529,264.760399
0.0,527,269.995387
0.0,509,274.972924
0.0,532,280.214662
9.0,1640,297.990377
0.0,504,303.019854
0.0,533,308.26239
9.0,1644,326.064359
0.0,529,331.232576
0.0,529,336.468478
0.0,528,341.73169
0.0,539,347.035749
0.0,527,352.106516
9.0,1620,369.909676
0.0,540,375.173688
5.0,1411,390.413759
0.0,529,395.63001
0.0,535,400.846083
0.0,539,406.045727
0.0,533,411.270672
0.0,524,416.513323
0.0,505,421.578157
2.0,813,430.092127
2.0,829,438.728107
9.0,1620,456.454755
0.0,539,461.67893
0.0,528,466.898604
0.0,531,472.118553
0.0,543,477.341158
9.0,1644,495.079293
2.0,829,503.684238
5.0,1414,518.991344
0.0,508,524.092226
0.0,532,529.323846
5.0,1415,544.702146
0.0,519,549.752542
0.0,519,554.839258
0.0,520,560.053418
2.0,834,568.655905
9.0,1624,586.454437
2.0,816,594.72065
0.0,527,599.959139
0.0,517,605.238384
0.0,517,610.411097
2.0,818,619.02832
0.0,541,624.30455
0.0,507,629.385758
9.0,1632,647.186522
0.0,524,652.450525
5.0,1410,667.790926
0.0,499,672.939491
0.0,541,678.171563
9.0,1624,695.913301
5.0,1422,711.16504
0.0,524,716.24652
9.0,1628,734.057603
