#{"t_start": 1686392103.722819, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,511,6.556713
0.0,516,11.436184
0.0,522,16.55772
1.0,719,23.742105
1.0,719,31.047073
0.0,528,35.994459
4.0,1156,47.941034
0.0,535,53.039699
0.0,512,58.107405
0.0,523,63.075046
0.0,507,68.144976
0.0,516,73.261164
0.0,508,78.202618
0.0,541,83.350159
1.0,640,89.633738
0.0,517,94.796706
0.0,516,99.946938
6.0,1634,117.253259
2.0,829,125.517733
2.0,825,133.940586
0.0,537,139.074428
0.0,539,144.168575
9.0,1640,161.51722
0.0,543,166.633355
0.0,521,171.79171
0.0,516,176.917813
1.0,701,184.018101
0.0,527,189.127453
9.0,1636,206.558997
0.0,531,211.533732
0.0,517,216.684556
0.0,532,221.743547
0.0,520,226.891639
0.0,533,232.091699
0.0,540,237.22412
2.0,822,245.676251
13.0,1840,265.345182
2.0,810,273.83731
2.0,812,282.121826
5.0,1313,296.009981
4.0,1193,308.694724
0.0,528,313.825851
0.0,503,318.805535
0.0,532,323.768336
2.0,833,332.253842
1.0,732,339.595348
0.0,524,344.712966
1.0,636,350.98887
0.0,519,356.086356
2.0,810,364.368005
3.0,945,373.972542
11.0,1938,394.781277
0.0,519,399.936289
2.0,834,408.386593
0.0,523,413.417228
0.0,541,418.617098
10.0,1832,438.270083
5.0,1430,453.360831
0.0,536,458.478001
0.0,533,463.578617
0.0,527,468.701141
1.0,643,474.977881
5.0,1418,489.923547
2.0,896,499.245836
10.0,1824,518.793359
3.0,1037,529.669851
9.0,1644,547.125085
0.0,519,552.263374
4.0,1135,564.230968
1.0,631,570.502965
2.0,825,578.844643
0.0,541,583.922474
2.0,924,593.300838
15.0,2134,616.219521
3.0,1006,626.872489
0.0,534,631.967696
7.0,1557,648.363135
7.0,1686,666.142685
4.0,1302,679.824154
6.0,1493,695.667622
1.0,645,702.051854
3.0,948,711.811448
8.0,1131,723.473023
5.0,1181,735.925292
9.0,1704,754.052175
11.0,2013,775.402372
7.0,1845,794.848953
11.0,1107,806.400002
8.0,1794,825.375762
4.0,1163,837.375507
7.0,1003,847.742578
2.0,764,855.416052
7.0,1824,874.808446
11.0,2439,901.038842
5.0,1486,916.858935
9.0,1877,936.79225
