#{"t_start": 1686392103.772233, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1114,13.023308
0.0,512,18.057749
0.0,508,23.044694
0.0,515,28.158007
1.0,724,35.455441
1.0,628,41.830755
1.0,648,48.12722
0.0,533,53.276946
0.0,528,58.335786
0.0,540,63.441584
1.0,641,69.857783
1.0,710,77.024474
1.0,726,84.257296
2.0,818,92.704031
7.0,1706,110.824069
4.0,1140,122.756505
0.0,519,127.816633
1.0,651,134.337877
4.0,1213,146.96902
5.0,1402,161.909021
0.0,531,167.040109
0.0,527,172.184449
1.0,636,178.652275
0.0,539,183.768036
5.0,1402,198.71239
12.0,2138,221.921856
0.0,501,226.809075
1.0,716,233.89191
0.0,537,239.042133
0.0,516,244.153753
0.0,528,249.282586
0.0,532,254.389927
0.0,535,259.490807
0.0,532,264.553112
0.0,512,269.56513
2.0,801,277.905212
0.0,517,283.019442
9.0,1636,300.405751
1.0,711,307.772679
0.0,531,312.903536
0.0,524,317.88394
0.0,525,323.008532
0.0,519,328.159173
0.0,531,333.278469
0.0,541,338.432201
0.0,528,343.403995
0.0,511,348.472532
1.0,712,355.69001
4.0,1189,368.369679
1.0,663,374.8541
0.0,515,380.013082
0.0,503,384.938294
2.0,824,393.338215
0.0,537,398.46562
5.0,1398,413.557396
4.0,1205,426.182736
2.0,828,434.670606
0.0,527,439.826669
1.0,720,447.042402
5.0,1398,461.993331
9.0,1632,479.287308
0.0,503,484.197554
1.0,644,490.561823
4.0,1068,501.521212
0.0,517,506.699877
1.0,620,512.941179
0.0,519,518.076383
2.0,911,527.476123
14.0,2124,550.463125
3.0,1108,562.030791
0.0,541,567.162414
0.0,537,572.215268
1.0,724,579.488927
5.0,1307,593.25904
5.0,1349,607.408909
2.0,762,614.97348
14.0,2237,639.080429
5.0,1323,652.773749
6.0,1692,670.917379
5.0,1414,685.867912
3.0,1039,696.5125
5.0,1219,709.167439
8.0,1839,728.53142
4.0,993,738.769794
10.0,2171,761.983095
6.0,1540,778.177248
6.0,1637,795.403339
6.0,1532,811.695709
11.0,1099,823.129956
8.0,1866,843.007923
10.0,1808,862.321528
20.0,2695,891.343361
7.0,1706,909.303584
5.0,1264,922.596142
7.0,1724,940.937379
19.0,2394,966.84229
12.0,2613,994.768081
12.0,1231,1007.473599
16.0,2171,1030.689388
14.0,2398,1056.297908
15.0,2293,1081.01512
11.0,1847,1100.813448
16.0,2665,1129.501942
11.0,2411,1155.711534
18.0,1529,1172.036958
20.0,2689,1201.079943
24.0,1857,1220.91769
18.0,2873,1251.649634
32.0,3564,1289.957857
15.0,2318,1315.285381
14.0,2298,1339.721954
18.0,2944,1371.515914
9.0,1958,1392.648117
11.0,1095,1404.310078
11.0,1095,1416.03626
0.0,542,1421.236249
11.0,1087,1432.879095
0.0,534,1438.074676
11.0,1091,1449.641788
11.0,1103,1461.363587
0.0,520,1466.587155
0.0,516,1471.787949
6.0,1388,1486.479958
11.0,2262,1510.815659
14.0,2205,1534.419024
20.0,3615,1573.429674
11.0,1107,1584.903171
13.0,2395,1610.722294
32.0,3572,1649.138406
14.0,2286,1673.506543
25.0,2139,1696.299962
29.0,3105,1729.835901
9.0,1271,1743.073569
12.0,1984,1764.357635
22.0,2909,1795.858185
28.0,3322,1832.654282
20.0,2207,1856.361984
15.0,2484,1883.29666
13.0,1363,1897.46168
24.0,3170,1931.871509
19.0,2070,1953.886886
37.0,4120,1998.708771
15.0,1666,2016.316453
31.0,3264,2051.436549
17.0,3185,2085.969962
15.0,2825,2116.794474
59.0,4194,2162.625933
17.0,3175,2197.128776
8.0,1707,2215.697374
