#{"t_start": 1686392103.673376, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,714,8.797717
2.0,830,17.082072
3.0,1110,28.765336
1.0,698,36.010659
0.0,527,41.18069
1.0,714,48.218922
0.0,517,53.367143
1.0,640,59.717297
0.0,525,64.83878
0.0,517,69.948065
4.0,1134,81.802154
3.0,1008,92.343591
0.0,531,97.465717
2.0,900,106.68644
0.0,515,111.736352
1.0,723,118.861353
0.0,509,123.749649
0.0,515,128.819703
0.0,509,133.788136
2.0,908,143.150166
1.0,628,149.548721
9.0,1616,166.909622
0.0,524,172.013017
2.0,813,180.326223
0.0,537,185.451849
0.0,520,190.541607
0.0,528,195.679299
0.0,532,200.847096
2.0,810,209.267951
0.0,525,214.409915
0.0,527,219.531141
3.0,1035,230.189459
1.0,692,237.303533
6.0,1537,253.625851
0.0,531,258.721737
0.0,513,263.776589
0.0,520,268.940322
0.0,517,273.964455
9.0,1628,291.361628
9.0,1640,308.799247
5.0,1398,323.947467
0.0,521,329.126736
2.0,810,337.496664
0.0,515,342.561349
1.0,716,349.664709
0.0,525,354.804035
0.0,511,359.776075
0.0,535,364.873424
3.0,1005,375.319386
5.0,1426,390.374736
9.0,1632,407.802704
0.0,507,412.961866
0.0,531,417.98708
9.0,1640,435.515686
1.0,732,442.892261
0.0,517,448.038282
2.0,817,456.35469
0.0,523,461.469926
0.0,512,466.545192
0.0,517,471.454651
1.0,716,478.697478
0.0,528,483.791447
10.0,1734,502.448147
1.0,708,509.668725
0.0,516,514.733545
0.0,540,519.859843
2.0,817,528.237654
0.0,528,533.335982
9.0,1620,550.553883
1.0,702,557.617181
3.0,885,566.708144
4.0,1070,577.571797
4.0,1215,590.39805
0.0,531,595.593408
8.0,1965,616.472627
0.0,541,621.609728
0.0,533,626.71996
0.0,537,631.816267
9.0,1822,651.117295
4.0,1148,663.017811
1.0,629,669.324656
7.0,1818,688.76202
5.0,1429,703.834388
3.0,1103,715.225282
7.0,1603,732.130671
5.0,1510,748.002316
12.0,1910,768.401889
12.0,1291,781.884149
13.0,2169,805.309229
11.0,1608,822.32505
13.0,1418,837.221837
6.0,1721,855.457577
8.0,1947,876.181309
12.0,2552,903.566989
4.0,1236,916.46271
17.0,2292,940.833054
15.0,2565,968.575412
28.0,3220,1003.339828
18.0,2557,1030.709501
11.0,1940,1051.501904
15.0,2571,1079.066613
12.0,1223,1091.906271
10.0,2273,1116.186195
15.0,2827,1146.878929
15.0,2054,1168.792634
22.0,1687,1186.978247
27.0,3454,1224.085058
20.0,2823,1254.469584
10.0,1734,1272.934151
22.0,3461,1310.426901
12.0,1294,1324.125395
19.0,2237,1347.974406
