#{"t_start": 1686392103.970279, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,902,10.592487
0.0,529,15.728463
3.0,1000,26.200954
0.0,543,31.330113
4.0,1312,45.11853
1.0,734,52.367019
0.0,543,57.48833
2.0,901,66.651458
3.0,1098,78.021519
0.0,512,83.113684
0.0,541,88.236305
5.0,1326,102.398201
2.0,830,110.805929
1.0,708,118.094839
7.0,1784,137.23266
2.0,902,146.521417
0.0,523,151.650843
2.0,809,159.96519
1.0,696,167.078061
0.0,527,172.232129
0.0,541,177.331784
0.0,519,182.414762
0.0,543,187.528199
0.0,517,192.649953
6.0,1610,209.862674
0.0,535,215.017768
0.0,513,219.952321
0.0,531,225.091006
2.0,809,233.609096
9.0,1623,251.005018
0.0,540,256.133411
0.0,523,261.22958
0.0,523,266.234932
2.0,907,275.596029
0.0,507,280.590114
0.0,533,285.730514
1.0,685,292.792553
5.0,1419,307.782678
1.0,702,314.93838
5.0,1402,329.984711
0.0,517,335.132951
3.0,1020,345.596587
1.0,636,351.907881
6.0,1608,369.0724
2.0,800,377.33422
2.0,748,384.971938
0.0,525,390.113792
3.0,1013,400.613363
1.0,651,407.015026
1.0,636,413.393321
5.0,1398,428.416556
2.0,808,436.724789
0.0,527,441.925553
0.0,541,447.095458
0.0,527,452.206455
1.0,633,458.658494
0.0,541,463.752733
2.0,757,471.394473
10.0,1824,490.843643
5.0,1398,505.829134
0.0,543,510.954674
5.0,1426,525.935469
1.0,704,533.124015
2.0,831,541.62683
0.0,531,546.720172
9.0,1624,564.064041
1.0,647,570.433778
8.0,1880,590.335258
10.0,1816,609.877607
6.0,1456,625.45581
0.0,541,630.565357
2.0,814,639.016065
6.0,1519,654.961183
5.0,1343,669.183345
1.0,655,675.469893
5.0,1481,691.206359
11.0,1786,710.244031
10.0,2319,734.999619
6.0,1712,753.2057
5.0,1295,766.753637
12.0,1219,779.532374
14.0,2412,805.558293
5.0,1496,821.435488
9.0,1616,838.687877
14.0,2427,864.749227
16.0,2100,887.375011
5.0,1495,903.218089
10.0,2172,926.406425
14.0,1590,943.092659
16.0,2517,970.045666
14.0,2624,998.19562
21.0,2950,1029.972811
13.0,1367,1044.170384
9.0,1932,1064.799265
7.0,1807,1083.843821
10.0,1793,1103.179823
23.0,1739,1121.771631
12.0,2531,1148.880966
8.0,1845,1168.507192
24.0,2828,1199.068754
12.0,1302,1212.55964
7.0,1563,1229.033437
17.0,2324,1253.727962
10.0,1746,1272.193123
21.0,3022,1304.929113
16.0,1662,1322.726231
15.0,1659,1340.188507
32.0,2675,1368.894623
13.0,2056,1391.080784
11.0,1087,1402.721559
0.0,543,1408.028104
0.0,530,1413.235634
11.0,1087,1424.896932
0.0,519,1430.144285
0.0,534,1435.341715
0.0,527,1440.564577
0.0,534,1445.730636
11.0,1111,1457.335624
0.0,531,1462.571663
0.0,527,1467.781897
0.0,536,1472.998669
7.0,1741,1491.576467
15.0,2262,1515.712445
21.0,2874,1546.524382
18.0,2492,1573.369151
17.0,2318,1598.375522
20.0,3248,1633.482823
20.0,1866,1653.285505
26.0,3543,1691.497028
24.0,2715,1720.650486
25.0,2573,1748.39084
15.0,2068,1770.490451
27.0,3808,1811.741463
20.0,2800,1842.597886
4.0,1311,1856.60159
29.0,3273,1892.163362
29.0,3094,1925.795575
33.0,3504,1963.603043
21.0,2378,1989.238549
24.0,3090,2022.342856
15.0,2801,2052.344962
18.0,1439,2067.41559
25.0,3319,2103.421148
17.0,2986,2136.04472
18.0,2881,2166.978851
24.0,3264,2202.394497
10.0,2007,2224.250272
27.0,2985,2256.559653
25.0,2063,2278.532804
33.0,2692,2307.129753
33.0,3431,2344.132178
60.0,5646,2406.051446
43.0,3263,2441.450244
29.0,2419,2467.47512
55.0,5369,2526.144178
24.0,3313,2562.031283
34.0,3704,2602.234579
33.0,3356,2638.643643
29.0,2601,2666.670937
34.0,4387,2714.38614
20.0,2282,2738.853759
21.0,3139,2772.780074
39.0,4552,2822.088768
26.0,3059,2854.866677
25.0,2758,2884.525047
52.0,3901,2926.879983
39.0,3579,2965.587044
34.0,3534,3003.733424
62.0,4103,3048.175242
30.0,2563,3075.484781
48.0,5109,3131.197227
31.0,4487,3180.133268
56.0,4201,3225.710625
42.0,4686,3276.598584
69.0,5825,3340.124067
55.0,5848,3403.944555
36.0,3521,3442.227622
41.0,2424,3468.114444
79.0,6314,3537.055467
83.0,6065,3603.463036
26.0,3414,3640.348254
19.0,2323,3665.130626
56.0,4932,3718.944436
53.0,4040,3762.796403
38.0,3289,3798.33236
99.0,6965,3874.157985
47.0,4831,3926.638538
24.0,2846,3957.27844
31.0,3688,3997.062322
0.0,527,4002.470611
19.0,2674,4031.47229
69.0,4727,4082.635188
72.0,4791,4134.797227
37.0,3709,4174.873082
176.0,6837,4249.277719
44.0,4107,4293.995191
52.0,4631,4344.358305
39.0,4244,4390.424543
51.0,4817,4443.142321
92.0,4272,4489.371733
89.0,6281,4557.85349
63.0,4335,4604.859709
31.0,2989,4637.083812
35.0,4405,4684.842505
76.0,5812,4747.822119
68.0,5245,4804.723158
40.0,2802,4834.914586
48.0,3758,4875.50924
61.0,5949,4940.120141
47.0,4653,4990.306742
30.0,3327,5026.097293
82.0,5751,5088.661099
53.0,4603,5138.455399
44.0,3707,5178.48771
63.0,6186,5245.841925
59.0,4270,5292.019923
50.0,4145,5336.943081
85.0,5998,5402.254768
68.0,6164,5469.082162
26.0,2919,5500.323283
375.0,4405,5548.048262
151.0,5910,5612.661365
64.0,4678,5663.643043
69.0,5621,5724.908758
48.0,4255,5771.062644
57.0,4873,5823.943628
287.0,6296,5892.294085
31.0,3092,5925.628436
54.0,4785,5977.546005
31.0,3717,6017.949167
48.0,2759,6047.671426
73.0,5123,6103.400005
36.0,4601,6153.361584
52.0,4414,6201.562236
173.0,6219,6269.379604
71.0,5017,6324.853654
82.0,4399,6374.355087
88.0,6484,6445.882881
15.0,2549,6473.172352
32.0,3860,6515.40839
89.0,5798,6579.552828
120.0,5901,6643.642473
80.0,6385,6712.992673
61.0,4270,6759.237833
49.0,5218,6816.153398
67.0,5008,6870.774019
