#{"t_start": 1686357340.572963, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,523,6.196614
1.0,724,13.695197
0.0,515,18.924295
9.0,1708,37.622318
0.0,533,42.797604
1.0,702,49.985602
0.0,509,55.190932
9.0,1636,73.034926
8.0,1499,89.367706
4.0,1200,102.327338
0.0,537,107.551661
1.0,656,114.142192
0.0,529,119.206649
5.0,1418,134.484317
5.0,1415,149.81128
0.0,537,155.082125
2.0,825,163.516145
9.0,1644,181.205668
9.0,1620,199.001522
0.0,540,204.228961
0.0,532,209.385165
0.0,517,214.634711
0.0,519,219.704913
0.0,528,224.930789
2.0,825,233.54731
0.0,524,238.782692
0.0,525,243.872266
0.0,519,249.105449
9.0,1628,266.863128
0.0,528,272.0845
0.0,540,277.318244
9.0,1624,295.08581
9.0,1636,312.877385
0.0,524,318.11678
0.0,536,323.373326
2.0,813,331.972826
0.0,528,337.054519
0.0,519,342.334708
9.0,1616,360.201517
0.0,527,365.403485
5.0,1410,380.689877
0.0,515,385.856049
0.0,515,390.954938
0.0,512,396.139811
0.0,524,401.395973
9.0,1632,419.125652
9.0,1632,436.928421
2.0,825,445.520423
0.0,541,450.753211
9.0,1636,468.454571
0.0,508,473.52541
2.0,824,481.957528
9.0,1636,499.724993
2.0,825,508.31075
0.0,507,513.489513
0.0,521,518.747334
0.0,535,523.85098
0.0,523,529.040416
1.0,692,536.149885
0.0,533,541.339415
0.0,521,546.535478
0.0,528,551.803526
5.0,1326,566.182852
4.0,1193,578.997879
2.0,902,588.385545
0.0,528,593.502427
0.0,511,598.590915
9.0,1644,616.3945
0.0,532,621.682569
1.0,696,628.930016
3.0,1008,639.598826
2.0,808,648.053626
0.0,523,653.177642
0.0,519,658.438289
0.0,519,663.637891
0.0,515,668.733573
0.0,533,673.969211
0.0,531,679.221337
2.0,829,687.798851
3.0,997,698.461898
5.0,1402,713.70652
0.0,511,718.789649
9.0,1640,736.569762
2.0,821,745.219288
0.0,528,750.50331
9.0,1620,768.332119
9.0,1636,786.145711
0.0,543,791.451039
0.0,515,796.701869
9.0,1632,814.435777
5.0,1398,829.754731
9.0,1624,847.427891
4.0,1133,859.532623
0.0,523,864.720172
9.0,1644,882.44555
0.0,532,887.519444
9.0,1636,905.24776
1.0,726,912.666533
0.0,535,917.883578
5.0,1414,933.224533
