#{"t_start": 1686392104.174609, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,509,6.048177
0.0,529,11.201421
0.0,539,16.311925
2.0,898,25.50423
3.0,1022,36.016339
3.0,1026,46.710012
0.0,515,51.708374
0.0,527,56.836119
1.0,716,63.989971
0.0,528,69.101873
1.0,682,76.176739
0.0,529,81.313425
2.0,913,90.694066
0.0,536,95.855377
4.0,1191,108.356245
8.0,1411,123.310539
0.0,528,128.379438
0.0,527,133.502188
0.0,523,138.637792
2.0,833,147.005644
9.0,1632,164.358166
0.0,515,169.369529
0.0,523,174.454147
0.0,529,179.555396
0.0,541,184.684055
1.0,639,190.957613
0.0,517,196.045596
2.0,822,204.565079
0.0,519,209.525679
0.0,532,214.678027
4.0,1288,228.32142
0.0,533,233.46318
0.0,523,238.56747
0.0,517,243.675342
2.0,833,252.016676
9.0,1644,269.418953
2.0,821,277.90549
0.0,527,283.022069
0.0,521,288.146726
5.0,1398,303.094547
1.0,709,310.32036
3.0,1004,320.862671
0.0,511,325.925131
3.0,1025,336.541601
5.0,1402,351.480734
0.0,533,356.621657
6.0,1590,373.752925
0.0,511,378.853354
5.0,1406,393.850054
1.0,627,400.111217
0.0,520,405.04834
0.0,520,410.047333
0.0,519,415.168371
0.0,536,420.32682
0.0,512,425.30876
9.0,1636,442.891075
9.0,1632,460.29017
1.0,712,467.432505
9.0,1522,483.719016
1.0,696,490.697718
1.0,615,496.890793
1.0,719,504.204018
0.0,541,509.35023
2.0,751,516.960064
1.0,651,523.426118
2.0,823,531.929456
9.0,1535,548.257048
0.0,533,553.362546
0.0,516,558.461183
0.0,537,563.558327
9.0,1632,580.805985
4.0,1215,593.568969
5.0,1502,609.500073
9.0,1803,628.90088
4.0,1136,640.867296
0.0,521,645.942088
4.0,1076,657.125895
5.0,1363,671.436211
8.0,1789,690.55563
0.0,529,695.640737
9.0,1620,712.938076
8.0,1780,731.973066
8.0,1670,749.664305
5.0,1263,762.721644
7.0,1798,782.012191
7.0,1819,801.276183
14.0,1502,817.229277
7.0,1744,835.605442
11.0,1107,846.96405
16.0,2343,872.138341
10.0,2182,895.316926
16.0,2035,916.910034
11.0,2039,938.712112
15.0,1626,956.070263
8.0,2037,977.556509
17.0,2080,999.816909
10.0,1734,1018.322161
9.0,1741,1036.915049
21.0,2939,1068.864995
10.0,2093,1091.207324
14.0,1607,1108.400135
15.0,2667,1137.359888
13.0,2733,1166.726067
21.0,2920,1198.417782
16.0,2709,1227.343308
14.0,2380,1253.008421
25.0,3946,1295.491811
19.0,3010,1328.26494
14.0,1958,1349.211726
24.0,3226,1383.925731
2.0,779,1391.805061
11.0,1099,1403.466539
0.0,535,1408.750886
11.0,1111,1420.415018
0.0,520,1425.624078
0.0,530,1430.868464
0.0,516,1436.072861
0.0,515,1441.284566
11.0,1095,1452.859542
0.0,524,1458.069543
11.0,1111,1469.791846
5.0,1218,1482.580936
16.0,2626,1510.93618
13.0,2443,1537.037089
14.0,2630,1565.276532
14.0,2308,1589.868787
37.0,3197,1624.279781
31.0,3721,1664.359483
24.0,3292,1700.053765
26.0,3192,1734.471904
21.0,2417,1760.600805
42.0,4568,1810.430429
15.0,2677,1839.969415
20.0,1909,1860.657504
20.0,2398,1886.478216
39.0,4132,1931.442166
24.0,2848,1962.074299
23.0,2683,1991.012072
32.0,4155,2035.957047
47.0,4430,2084.108949
14.0,2222,2107.946603
24.0,2749,2137.888611
33.0,3485,2175.390969
16.0,2448,2202.134739
1.0,638,2208.569895
7.0,1577,2225.39989
31.0,2517,2252.59437
20.0,3056,2285.805528
49.0,5361,2343.898644
24.0,3045,2376.858933
23.0,2115,2399.432618
22.0,2035,2421.168922
39.0,3096,2455.0165
10.0,2083,2477.486771
19.0,2714,2506.493847
35.0,3073,2539.738086
28.0,3595,2578.9051
21.0,1827,2598.290001
35.0,4064,2642.615662
30.0,3472,2680.237298
37.0,3978,2723.28599
68.0,5576,2783.855229
50.0,4403,2831.440588
23.0,2173,2854.720176
45.0,3354,2891.179208
34.0,3987,2934.328234
48.0,5283,2991.603576
22.0,1967,3012.503127
32.0,3533,3050.614448
27.0,3507,3088.511926
43.0,4918,3141.950408
18.0,2775,3171.922549
39.0,3897,3214.242012
48.0,5150,3270.483538
31.0,3882,3312.369843
56.0,4920,3366.032748
50.0,4119,3411.002707
40.0,3370,3447.28075
32.0,4244,3493.324155
54.0,4837,3546.131707
79.0,6145,3613.390058
39.0,3393,3650.117489
48.0,4854,3703.0872
30.0,3205,3737.641921
57.0,4083,3782.052175
37.0,4291,3828.766493
62.0,5340,3886.55154
65.0,5398,3945.413561
43.0,4680,3996.131633
0.0,535,4001.533829
0.0,539,4006.763017
83.0,5863,4070.526773
24.0,3214,4104.985786
84.0,5806,4168.137986
49.0,4966,4222.044933
66.0,5940,4286.880506
46.0,5332,4345.106074
35.0,3953,4388.019005
37.0,2917,4419.391806
33.0,4107,4464.167603
46.0,3651,4503.731745
100.0,5743,4566.296613
39.0,4613,4616.412204
29.0,3593,4654.918968
28.0,3581,4693.498773
41.0,3930,4735.863274
244.0,5210,4792.283028
369.0,4375,4839.869446
51.0,4264,4885.902784
59.0,5589,4946.656165
40.0,3657,4986.089623
66.0,5107,5041.280729
39.0,3775,5081.890386
99.0,5878,5145.669463
78.0,5891,5209.641788
13.0,2229,5233.283848
49.0,4778,5285.143032
47.0,3928,5327.484155
27.0,3400,5364.21278
40.0,4075,5408.413954
52.0,4287,5454.84022
18.0,2496,5481.371188
71.0,4945,5534.853191
33.0,4004,5577.930947
82.0,6337,5647.031019
119.0,7484,5728.862931
36.0,3612,5767.923632
160.0,6620,5839.964104
58.0,5296,5897.520694
65.0,4484,5946.307328
61.0,5304,6004.111827
49.0,4655,6054.687663
77.0,5785,6117.944137
30.0,3790,6158.911066
107.0,5792,6222.083018
97.0,5612,6283.423108
53.0,4186,6329.837612
0.0,522,6334.89873
54.0,4357,6383.838923
121.0,6332,6453.337147
10.0,2086,6475.869401
57.0,4928,6529.932738
62.0,4431,6578.769613
61.0,4825,6631.110594
78.0,5041,6685.828969
80.0,5405,6744.55211
52.0,5117,6800.361807
36.0,3853,6842.198665
33.0,4292,6888.849177
166.0,8101,6976.081263
78.0,5312,7033.54769
45.0,4866,7086.342124
70.0,5723,7148.444378
47.0,4548,7197.854711
21.0,1619,7214.784873
57.0,4910,7268.050622
111.0,6176,7335.598408
148.0,5788,7398.783375
51.0,3799,7439.96117
94.0,5985,7505.131394
58.0,4972,7559.065177
224.0,6315,7628.066167
75.0,5702,7690.367583
112.0,6784,7764.5686
95.0,6009,7830.210127
97.0,6569,7901.973514
261.0,7658,7985.799495
139.0,7553,8068.568759
28.0,3159,8102.659162
120.0,6950,8178.331744
77.0,4414,8226.445248
178.0,7284,8306.324471
82.0,6185,8374.072262
82.0,5659,8436.18983
67.0,5352,8494.827063
128.0,6985,8571.60375
89.0,6583,8644.772146
71.0,4931,8698.439689
57.0,5025,8753.399862
49.0,4454,8801.786489
74.0,4624,8852.023884
279.0,7569,8935.029378
126.0,6348,9004.443576
233.0,4615,9054.848996
124.0,5797,9118.137559
42.0,4073,9162.593241
105.0,5593,9223.649383
51.0,4234,9269.919981
228.0,7342,9350.429424
132.0,6794,9424.81676
59.0,5704,9487.824544
230.0,6920,9563.108753
172.0,7511,9644.843389
109.0,6251,9713.031768
82.0,5992,9778.956124
53.0,5527,9840.22856
180.0,6810,9915.595319
285.0,7162,9993.649807
268.0,5600,10054.82663
302.0,7520,10137.602808
80.0,6465,10208.457036
0.0,519,10213.675727
0.0,527,10218.92826
0.0,526,10224.153907
0.0,539,10229.364729
0.0,536,10234.572954
0.0,532,10239.775645
0.0,531,10244.952472
11.0,1111,10256.55921
0.0,542,10261.772532
44.0,4848,10314.363088
102.0,7374,10394.607651
319.0,6197,10461.966834
116.0,6472,10531.186956
67.0,5267,10587.174245
226.0,7408,10667.777099
255.0,6513,10738.655772
361.0,4876,10792.163044
273.0,6007,10857.47147
84.0,4198,10903.136224
96.0,5422,10962.439286
141.0,6051,11028.206545
94.0,5643,11089.669709
137.0,8207,11179.240959
9.0,1814,11198.634349
11.0,1099,11210.313608
7.0,1416,11225.312293
202.0,7697,11309.176346
92.0,5640,11370.608957
63.0,5662,11432.322319
105.0,5146,11488.166212
390.0,7877,11574.616351
136.0,7495,11656.388862
108.0,5899,11720.41727
99.0,6074,11786.506924
134.0,6331,11856.259603
82.0,5589,11917.445868
107.0,6151,11984.892031
139.0,6095,12051.758244
71.0,5576,12112.516775
95.0,6438,12183.13181
134.0,7240,12261.884625
45.0,4987,12316.006638
98.0,4290,12362.891337
124.0,7472,12444.882543
72.0,5436,12504.593271
100.0,6338,12573.099693
80.0,5323,12630.84178
310.0,7754,12715.202331
88.0,5723,12777.249514
310.0,7403,12857.916308
116.0,4736,12909.296858
255.0,8055,12997.24174
49.0,4910,13050.452856
67.0,5981,13115.507646
87.0,6005,13180.658675
293.0,6090,13246.661882
63.0,4270,13292.877434
147.0,7428,13373.463089
109.0,5519,13433.189233
104.0,6885,13508.130908
135.0,5522,13568.291468
171.0,6202,13635.543608
337.0,7413,13716.193229
372.0,8060,13804.189885
238.0,7473,13885.39473
89.0,5262,13942.732734
209.0,6358,14011.914271
104.0,6053,14077.951793
178.0,8146,14166.99908
143.0,6289,14235.229598
54.0,4140,14280.613294
161.0,7289,14360.237457
68.0,6391,14430.247885
97.0,5608,14491.471744
274.0,6585,14563.699391
305.0,7075,14641.36107
164.0,7075,14719.171521
100.0,5112,14775.004221
197.0,5335,14833.36705
118.0,6480,14904.445236
51.0,4690,14955.81097
95.0,5205,15012.621105
75.0,5134,15068.880955
205.0,5454,15128.782894
140.0,7599,15212.600848
0.0,539,15217.863055
0.0,534,15223.10016
84.0,4451,15271.715735
112.0,5973,15337.253502
153.0,5694,15399.806318
97.0,5904,15464.515188
