#{"t_start": 1685892850.3556385, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,806,33.245429
3.0,1019,41.929444
1.0,634,47.30795
1.0,628,53.048972
1.0,702,61.683442
1.0,628,66.993833
1.0,631,72.416388
2.0,818,79.713892
3.0,1004,88.566084
1.0,705,97.358514
1.0,712,103.200116
1.0,721,109.097502
5.0,1419,122.367752
5.0,1431,137.027954
0.0,528,141.419803
5.0,1403,154.115523
0.0,508,159.770975
0.0,536,164.168211
0.0,528,168.470838
0.0,512,172.798929
0.0,528,176.993515
4.0,1191,189.431799
2.0,819,196.572228
11.0,1943,214.198511
0.0,536,220.274844
1.0,648,225.840606
0.0,530,230.123946
2.0,822,237.168216
5.0,1412,250.291346
0.0,528,256.079557
5.0,1407,269.19569
0.0,509,273.627068
3.0,997,282.707607
5.0,1411,297.156171
4.0,1218,307.848061
0.0,521,312.018951
0.0,529,316.358931
2.0,817,325.169356
0.0,524,329.480847
0.0,514,333.708774
3.0,1017,342.565711
2.0,819,349.69785
0.0,509,355.869821
2.0,818,363.15535
0.0,534,367.510015
2.0,834,375.155339
9.0,1625,425.334472
10.0,1821,459.401534
0.0,518,466.682232
0.0,508,472.514722
0.0,502,476.720593
0.0,530,481.079604
5.0,1411,500.564995
9.0,1633,535.061019
2.0,826,543.163723
1.0,718,551.136376
0.0,517,556.014669
1.0,710,566.392789
3.0,937,582.147465
0.0,525,586.868521
3.0,992,595.977393
3.0,997,610.423141
4.0,1205,621.520624
1.0,714,627.57055
5.0,1345,643.893455
2.0,813,651.193146
4.0,1209,662.125984
2.0,770,668.890628
0.0,520,674.99543
2.0,752,683.074166
6.0,1515,697.037031
2.0,892,704.803967
1.0,632,713.046822
5.0,1196,723.785509
2.0,932,732.077859
6.0,1290,748.220705
4.0,1064,758.446741
7.0,1516,779.317048
1.0,645,785.170843
11.0,1908,802.693358
1.0,624,808.872093
0.0,529,815.292546
1.0,708,821.322936
1.0,733,827.530523
11.0,1945,848.468901
4.0,1136,858.453239
7.0,1008,867.892125
16.0,2433,895.032293
11.0,1108,904.53433
12.0,2005,925.422663
9.0,1717,941.720276
9.0,1975,962.259661
7.0,1656,978.67417
7.0,1479,992.803033
7.0,1731,1011.305352
9.0,1962,1032.428312
5.0,1487,1048.754398
8.0,1791,1065.48297
17.0,2435,1094.298804
8.0,1821,1112.541959
12.0,2009,1131.668308
8.0,1795,1151.234812
11.0,1917,1168.282579
11.0,1096,1178.766759
13.0,2535,1203.938489
28.0,2532,1231.559783
12.0,1244,1245.554741
19.0,2619,1272.436905
13.0,2287,1296.722815
11.0,1100,1306.623123
16.0,2303,1331.369591
11.0,2088,1350.296103
20.0,2498,1378.633067
15.0,2105,1403.670042
19.0,2222,1430.952982
30.0,3505,1468.64955
17.0,2633,1496.559463
17.0,1991,1516.255685
27.0,3162,1547.733727
14.0,2473,1573.700157
26.0,3468,1617.315959
25.0,2619,1642.884791
18.0,2228,1664.264861
22.0,2645,1692.157415
41.0,2850,1726.336589
7.0,1827,1746.035635
0.0,538,1751.120565
0.0,544,1755.706937
0.0,517,1760.249925
0.0,530,1764.903017
9.0,1625,1784.702524
0.0,521,1790.139763
0.0,521,1794.772548
0.0,530,1799.291299
9.0,1637,1817.657598
0.0,518,1825.520239
