#{"t_start": 1686357339.9113731, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,710,9.084263
0.0,537,14.332495
2.0,826,22.776899
7.0,1718,41.68365
0.0,521,46.883692
0.0,511,51.979046
0.0,529,57.239007
1.0,720,64.508424
0.0,519,69.724011
0.0,528,74.820461
9.0,1636,92.567178
0.0,524,97.747262
0.0,513,102.746668
12.0,1736,121.653033
4.0,1217,134.56562
0.0,521,139.785903
0.0,535,145.002539
13.0,1860,165.237543
9.0,1640,182.921462
0.0,533,188.165489
9.0,1636,205.944221
9.0,1624,223.704702
0.0,536,228.964465
2.0,820,237.395214
9.0,1636,255.173526
0.0,541,260.404472
9.0,1616,278.152364
0.0,531,283.430632
0.0,543,288.678534
0.0,539,293.879062
0.0,525,299.126209
0.0,537,304.365552
5.0,1402,319.662487
0.0,527,324.914413
9.0,1628,342.698533
0.0,539,347.999456
0.0,531,353.266437
5.0,1418,368.579503
0.0,543,373.836167
0.0,516,379.060093
5.0,1406,394.318971
5.0,1419,409.693491
9.0,1620,427.454622
0.0,528,432.721886
2.0,825,441.262337
9.0,1616,458.993593
0.0,525,464.185552
9.0,1636,481.903726
2.0,821,490.477847
2.0,804,498.939176
0.0,537,504.190197
0.0,503,509.217675
2.0,825,517.815207
0.0,528,522.933283
2.0,808,531.492471
0.0,521,536.600488
5.0,1411,551.873012
0.0,500,557.021106
5.0,1418,572.334148
0.0,536,577.387016
9.0,1640,595.163751
0.0,540,600.404076
0.0,521,605.681522
0.0,525,610.918361
0.0,515,616.116386
0.0,520,621.404084
9.0,1616,639.137612
2.0,825,647.798126
2.0,829,656.358457
2.0,821,664.981812
0.0,515,670.033355
4.0,1197,682.931479
0.0,500,687.965171
0.0,527,692.984261
0.0,520,698.17761
0.0,521,703.404941
0.0,519,708.637493
2.0,827,717.079559
4.0,1216,729.925434
0.0,533,735.20375
0.0,520,740.463636
0.0,524,745.713497
9.0,1624,763.584344
4.0,1208,776.516787
0.0,519,781.766973
0.0,519,787.008356
2.0,802,795.380276
0.0,512,800.571363
2.0,834,809.136388
0.0,525,814.375358
0.0,516,819.6493
5.0,1411,834.908075
0.0,516,840.11559
2.0,829,848.582965
2.0,817,857.170289
2.0,804,865.666809
0.0,519,870.677918
9.0,1624,888.402399
5.0,1402,903.749855
0.0,537,908.991447
5.0,1418,924.291473
9.0,1624,942.077335
0.0,535,947.194631
9.0,1640,964.895095
1.0,725,972.378653
1.0,639,978.919888
5.0,1418,994.16825
3.0,919,1003.929609
0.0,535,1009.116907
0.0,524,1014.349977
9.0,1632,1032.107637
4.0,1145,1044.179253
0.0,507,1049.36544
0.0,541,1054.614633
5.0,1422,1069.824732
1.0,636,1076.163435
0.0,523,1081.403873
4.0,1219,1094.442571
3.0,943,1104.427191
0.0,531,1109.621635
3.0,952,1119.603559
4.0,1124,1131.532253
7.0,1015,1142.193481
9.0,1632,1159.947133
4.0,1217,1172.85863
11.0,1932,1193.882633
8.0,1350,1208.401265
0.0,536,1213.696793
0.0,511,1218.945471
11.0,1103,1230.69187
4.0,1143,1242.768322
11.0,1107,1254.673272
0.0,518,1259.944943
11.0,1111,1271.532377
4.0,1073,1282.952437
7.0,999,1293.600665
4.0,1136,1305.623226
0.0,518,1310.821151
0.0,530,1316.019104
6.0,1544,1332.866004
4.0,1144,1345.061354
11.0,1099,1356.790184
6.0,1555,1373.559025
0.0,538,1378.780799
12.0,1851,1398.976745
0.0,542,1404.189532
12.0,1900,1424.751215
4.0,1224,1437.845351
9.0,1616,1455.574547
10.0,2219,1479.816381
9.0,1824,1499.635591
11.0,1103,1511.342317
11.0,1896,1531.993112
17.0,2348,1557.617852
11.0,2127,1580.785441
16.0,2383,1606.672163
13.0,2300,1631.794816
13.0,1503,1647.953843
16.0,2208,1672.067218
20.0,2895,1703.986229
11.0,1738,1722.713965
13.0,2194,1746.622996
12.0,1294,1760.505284
17.0,2210,1784.833846
12.0,1243,1797.909524
10.0,2099,1820.937842
17.0,2276,1845.68306
20.0,2903,1877.435032
13.0,1442,1892.964695
13.0,2446,1919.757858
15.0,1710,1938.184844
21.0,2401,1964.539772
12.0,2306,1989.728904
12.0,1298,2003.46617
22.0,2533,2031.093056
12.0,2434,2057.640192
12.0,2470,2084.672352
11.0,2003,2106.56981
13.0,2676,2135.921873
11.0,2185,2159.775471
9.0,1807,2179.33248
25.0,3179,2214.45803
19.0,2620,2243.190358
21.0,2813,2273.974697
14.0,2199,2297.857554
20.0,2321,2323.049702
13.0,2513,2350.431351
14.0,1578,2367.289478
10.0,1959,2388.40255
18.0,2414,2414.517452
27.0,3248,2450.108215
25.0,3051,2483.601216
15.0,2470,2510.357213
21.0,3114,2544.608824
19.0,3112,2578.690215
26.0,3319,2615.354336
24.0,3391,2652.483657
18.0,2225,2676.524795
22.0,3504,2715.047843
20.0,1913,2735.711006
12.0,2030,2757.664852
14.0,1618,2775.167204
22.0,2449,2801.804037
14.0,1631,2819.302074
20.0,2285,2844.269205
18.0,1705,2862.775435
13.0,1350,2877.349395
35.0,2770,2907.463855
12.0,1303,2921.337661
2.0,914,2930.76868
16.0,1329,2944.845391
32.0,3955,2988.389292
6.0,1520,3004.500832
11.0,1983,3026.189274
12.0,1291,3039.998326
18.0,3335,3076.580765
31.0,3825,3118.532271
37.0,4739,3170.685316
20.0,3264,3206.577624
19.0,1581,3223.410624
25.0,3098,3257.441157
25.0,3334,3294.050244
28.0,1861,3314.216554
47.0,4272,3361.38274
39.0,2605,3389.939618
20.0,2438,3416.593856
39.0,4639,3467.817483
16.0,2467,3494.922765
35.0,2248,3519.14159
46.0,4201,3565.301804
28.0,3830,3607.39566
22.0,3502,3646.013644
27.0,3652,3686.14364
12.0,1675,3704.016186
27.0,3415,3741.525406
15.0,2855,3772.644267
28.0,3812,3814.712375
31.0,3358,3851.702718
33.0,4399,3900.331243
78.0,5682,3963.248913
62.0,5757,4027.056073
32.0,4003,4071.172905
54.0,4245,4118.0023
14.0,2398,4143.937352
34.0,4254,4190.824048
29.0,3359,4227.543501
1.0,708,4235.022975
0.0,531,4240.338517
0.0,530,4245.62749
0.0,536,4250.945246
20.0,2622,4279.632712
0.0,516,4284.924563
11.0,1095,4296.673852
19.0,1778,4315.955742
57.0,4468,4364.972774
48.0,4486,4414.481277
28.0,2833,4445.193921
25.0,2650,4474.081652
22.0,3300,4510.136447
0.0,534,4515.47393
0.0,530,4520.775055
11.0,1095,4532.602264
0.0,524,4537.917866
0.0,531,4543.187587
0.0,534,4548.506265
11.0,1107,4560.236019
0.0,515,4565.522643
0.0,523,4570.836747
0.0,531,4576.118773
0.0,516,4581.371334
7.0,1633,4598.948444
15.0,2348,4624.453511
36.0,3410,4661.81954
41.0,4752,4714.096382
41.0,4438,4762.957555
43.0,4239,4809.758666
6.0,1612,4827.160693
0.0,536,4832.472271
0.0,539,4837.734966
15.0,2519,4865.320777
1.0,702,4872.64565
0.0,516,4877.963399
11.0,1099,4889.620129
9.0,1628,4907.471866
0.0,524,4912.698013
0.0,525,4917.903898
0.0,529,4923.109385
0.0,528,4928.351612
0.0,533,4933.590394
9.0,1632,4951.401051
0.0,520,4956.629466
9.0,1644,4974.486763
11.0,2138,4997.754806
2.0,823,5006.612486
9.0,1644,5024.353037
11.0,2302,5049.518179
25.0,2901,5081.388857
18.0,2586,5109.501643
25.0,3428,5147.230178
23.0,3457,5185.010129
36.0,2769,5215.281235
41.0,4231,5261.964899
30.0,4271,5309.1763
24.0,3478,5347.684138
0.0,535,5353.014104
0.0,520,5358.316489
0.0,514,5363.588861
0.0,536,5368.860079
0.0,519,5374.166817
0.0,528,5379.425487
11.0,1107,5391.16134
0.0,539,5396.438359
0.0,519,5401.740758
0.0,516,5407.009029
0.0,530,5412.291489
0.0,516,5417.575208
0.0,539,5422.856749
13.0,1471,5438.743864
62.0,4196,5485.22172
29.0,2962,5517.766588
0.0,540,5523.027656
0.0,519,5528.212526
40.0,3540,5567.166909
25.0,2166,5590.526759
19.0,2187,5614.42667
32.0,3754,5655.714797
39.0,3705,5696.421291
31.0,3176,5731.253267
18.0,2122,5754.511343
61.0,4623,5805.687447
46.0,4890,5859.681384
4.0,1144,5871.9305
0.0,531,5877.19244
0.0,523,5882.458662
0.0,539,5887.712925
0.0,537,5892.99468
0.0,527,5898.253297
0.0,529,5903.503811
46.0,4861,5957.349363
22.0,3519,5996.166096
27.0,3956,6039.865352
32.0,3865,6082.351203
33.0,3557,6121.585886
19.0,2474,6148.537397
30.0,3380,6185.625253
0.0,540,6190.929573
0.0,525,6196.192811
0.0,516,6201.429636
0.0,519,6206.674137
0.0,531,6211.998963
0.0,519,6217.258458
22.0,2881,6248.962712
43.0,4814,6302.083138
29.0,3304,6338.449006
38.0,4667,6389.95452
47.0,3881,6432.688731
8.0,1539,6449.156761
37.0,3398,6486.44461
40.0,4473,6535.750568
78.0,5895,6600.943407
39.0,4824,6654.265313
110.0,6863,6730.420907
57.0,4703,6782.387338
48.0,4756,6834.795009
59.0,4669,6886.25508
14.0,2452,6912.96402
75.0,6194,6981.383435
81.0,6015,7047.58987
18.0,2926,7079.582204
0.0,520,7084.878251
0.0,536,7090.205408
29.0,2497,7117.571403
90.0,5748,7181.265353
47.0,5303,7239.665937
48.0,5113,7295.912643
58.0,5671,7358.214851
57.0,5131,7414.771275
50.0,5461,7475.127454
37.0,4224,7521.561704
0.0,519,7526.717977
33.0,3464,7564.646779
72.0,5246,7622.372126
52.0,5476,7682.975325
51.0,4207,7729.13948
27.0,3274,7765.21333
20.0,2091,7787.826919
38.0,4645,7838.997054
63.0,4874,7892.937678
55.0,4372,7941.090083
65.0,5368,8000.260226
48.0,3917,8043.103312
39.0,4153,8088.621022
51.0,4904,8142.814117
7.0,1349,8157.322607
9.0,1616,8175.230601
9.0,1786,8194.560161
66.0,4483,8243.764355
64.0,5632,8305.925769
83.0,6203,8374.386792
36.0,3792,8416.037254
48.0,5066,8472.206611
43.0,4210,8518.617653
136.0,6989,8595.957979
20.0,2822,8626.77077
79.0,5903,8692.059292
100.0,6941,8768.834598
